id,officer id,unit_id,badge number,job title
,#788,16,P3841,Prob. Police Officer
,#789,12,3814,Prob. Police Officer
,#790,22,,Prob. Police Officer
,#791,22,,Prob. Police Officer
,#792,22,P3844,Prob. Police Officer
,#793,14,P3823,Prob. Police Officer
,#794,22,,Prob. Police Officer
,#795,15,P3839,Police Officer
,#796,14,P3838,Prob. Police Officer
,#797,,P3847,Prob. Police Officer
,#798,15,P3747,Police Officer
,#799,22,,Prob. Police Officer
,#800,12,P3721,Police Officer
,#801,13,P3831,Prob. Police Officer
,#802,13,P3827,Prob. Police Officer
,#803,15,P3774,Police Officer
,#804,16,P3329,Police Officer
,#805,14,P3753,Police Officer
,#806,16,P3842,Prob. Police Officer
,#807,16,P3801,Prob. Police Officer
,#808,22,,Prob. Police Officer
,#809,14,3800,Prob. Police Officer
,#810,15,P2062,Police Officer
,#811,22,,Prob. Police Officer
,#812,14,P3755,Police Officer
,#813,15,P3769,Police Officer
,#814,13,P3740,Police Officer
,#815,14,P3756,Police Officer
,#816,22,,Prob. Police Officer
,#817,13,P3578,Police Officer
,#818,21,P3717,Police Officer
,#819,12,P3752,Police Officer
,#820,22,,Prob. Police Officer
,#821,21,,Prob. Police Officer
,#822,13,3802,Prob. Police Officer
,#823,22,,Prob. Police Officer
,#824,16,P3765,Police Officer
,#825,12,P3637,Police Officer
,#826,12,P3793,Prob. Police Officer
,#827,12,P3792,Police Officer
,#828,16,P3789,Police Officer
,#829,22,,Prob. Police Officer
,#830,15,P3679,Police Officer
,#831,13,P3746,Police Officer
,#832,16,3820,Prob. Police Officer
,#833,22,,Prob. Police Officer
,#834,12,P3661,Police Officer
,#835,15,P3773,Police Officer
,#836,22,,Prob. Police Officer
,#837,16,P3782,Police Officer
,#838,22,P3845,Prob. Police Officer
88324,84016,17,D541,Detective
,#840,12,P3738,Police Officer
,#841,22,,Prob. Police Officer
,#842,16,P3099,Police Officer
,#843,14,P3766,Police Officer
,#844,13,P3821,Prob. Police Officer
,#845,22,,Prob. Police Officer
88359,84051,14,P3677,Police Officer
,#847,22,,Prob. Police Officer
,#848,22,,Prob. Police Officer
,#849,12,P3837,Prob. Police Officer
,#850,16,,Prob. Police Officer
,#851,14,P3786,Police Officer
,#852,13,P3624,Police Officer
,#853,16,P3408,Police Officer
,#854,15,P3832,Prob. Police Officer
,#855,14,P3720,Police Officer
,#856,13,3750,Prob. Police Officer
,#857,22,,Prob. Police Officer
,#858,22,,Prob. Police Officer
,#859,12,P2462,Police Officer
,#860,22,P3846,Prob. Police Officer
,#861,15,P3768,Police Officer
,#862,15,P3748,Police Officer
,#863,16,P3623,Police Officer
,#864,16,P3788,Police Officer
,#865,14,3817,Prob. Police Officer
,#866,14,P3836,Prob. Police Officer
,#867,,P3760,Police Officer
,#868,22,,Prob. Police Officer
,#869,22,,Prob. Police Officer
,#870,15,P3730,Police Officer
,#871,16,P3718,Police Officer
,#872,16,P3772,Police Officer
,#873,22,,Prob. Police Officer
,#874,14,P3724,Police Officer
,#875,14,P3835,Prob. Police Officer
,#876,22,,Prob. Police Officer
,#877,22,,Prob. Police Officer
,#878,22,,Prob. Police Officer
,#879,13,P3736,Police Officer
,#880,14,P3785,Police Officer
,#881,14,P3787,Police Officer
88496,84188,12,P3274,Police Officer
,#883,22,,Prob. Police Officer
,#884,12,L429,Lieutenant
,#885,15,P3759,Police Officer
,#886,14,3803,Prob. Police Officer
,#887,14,P3777,Police Officer
,#888,22,,Prob. Police Officer
,#889,16,P3589,Police Officer
,#890,16,2034,Prob. Police Officer
,#891,16,P3840,Prob. Police Officer
,#892,16,P3220,Police Officer
,#893,14,3814,Prob. Police Officer
,#894,15,P3771,Police Officer
90624,86287,15,,Police Officer
90625,86287,15,,Police Officer
90626,86287,15,,Police Officer
90597,86287,15,,Police Officer
,#896,16,P3781,Police Officer
,#897,16,P3791,Police Officer
,#898,12,P2434,Police Officer
,#899,22,,Prob. Police Officer
,#900,13,P3735,Police Officer
,#901,16,P3758,Police Officer
90654,86300,16,P3824,Prob. Police Officer
90649,86295,15,3819,Prob. Police Officer
,#904,16,P3727,Police Officer
,#905,16,P3843,Prob. Police Officer
,#906,13,P3540,Prob. Police Officer
,#907,13,P3770,Police Officer
,#908,16,P3737,Police Officer
,#909,12,P3825,Prob. Police Officer
,#910,13,P3830,Prob. Police Officer
,#911,14,P3733,Police Officer
,#912,14,,Prob. Police Officer
,#913,16,P3158,Police Officer
,#914,15,P3722,Police Officer
,#915,15,P3743,Police Officer
,#916,14,P3783,Police Officer
,#917,14,P3763,Police Officer
,#918,13,P3734,Police Officer
,#919,22,,Prob. Police Officer
,#920,14,3816,Prob. Police Officer
,#921,22,,Prob. Police Officer
,#922,22,,Prob. Police Officer
,#923,15,3804,Prob. Police Officer
,#924,22,,Prob. Police Officer
,#925,33,L523,Lieutenant
90639,86290,13,P3778,Police Officer
88704,84396,,P3328,Police Officer
,#928,22,,Prob. Police Officer
