officer_id,unit_id,badge_number,job title,id
#1,8,P3662,Police Officer,
#2,7,P2107,Police Officer,
#3,,D480,Detective,
#4,6,P3478,Police Officer,
#5,,P2372,Police Officer,
#6,,P2308,Police Officer,
#7,12,D592,Detective,
#8,,P3031,Police Officer,
#9,,P3006,Police Officer,
#10,12,D587,Detective,
#11,14,P3382,Police Officer,
#12,,P3430,Police Officer,
#13,,D505,Detective,
#14,9,P3474,Police Officer,
#15,11,L419,Lieutenant,
#16,,L330,Lieutenant,
#17,7,P3651,Police Officer,
#18,9,P3137,Police Officer,
#19,7,P3544,Police Officer,
#20,,C131,Captain,
#21,7,P3621,Police Officer,
#22,6,P3691,Police Officer,
#23,6,P3703,Police Officer,
#24,,L450,Lieutenant,
#25,7,P3541,Police Officer,
#26,5,P3059,Police Officer,
#27,,P3667,Police Officer,
#28,12,P3021,Police Officer,
#29,,D624,Detective,
#30,8,P3604,Police Officer,
#31,,P2553,Police Officer,
#32,,P2358,Police Officer,
#33,5,C110,Captain,
#34,6,P2901,Police Officer,
#35,8,P3631,Police Officer,
#36,,P3609,Police Officer,
#37,5,P3611,Police Officer,
#38,6,P2857,Police Officer,
#39,,P2159,Police Officer,
#40,5,P2118,Police Officer,
#41,6,P3442,Police Officer,
#42,,L449,Lieutenant,
#43,13,D346,Detective,
#44,5,P3543,Police Officer,
#45,,1133,Inspector,
#46,,,Chief,
#47,5,L463,Lieutenant,
#48,9,P3613,Police Officer,
#49,,P3586,Police Officer,
#50,,P3648,Police Officer,
#51,9,P3697,Police Officer,
#52,,P3018,Police Officer,
#53,,L347,Lieutenant,
#54,,P3048,Police Officer,
#55,,I21,Inspector,
#56,,P3683,Police Officer,
#57,,P2913,Police Officer,
#58,,P3474,Police Officer,
#59,9,P3643,Police Officer,
#60,,,Deputy Commissioner,
#61,14,P2386,Police Officer,
#62,9,P3568,Police Officer,
#63,,P3570,Police Officer,
#64,,D616,Detective,
#65,7,P3600,Police Officer,
#66,,L436,Lieutenant,
#67,6,P2147,Police Officer,
#68,,P3578,Police Officer,
#69,,P2554,Police Officer,
#70,5,P3398,Police Officer,
#71,8,P3638,Police Officer,
#72,9,P3601,Police Officer,
#73,,I7,Inspector,
#74,,P3474,Police Officer,
#75,6,l375,Lieutenant,
#76,,I39,Inspector,
#77,,P3623,Police Officer,
#78,7,P3363,Police Officer,
#79,8,P3618,Police Officer,
#80,,L346,Lieutenant,
#81,,P3460,Police Officer,
#82,,P2458,Police Officer,
#83,8,P2446,Police Officer,
#84,,D404,Detective,
#85,8,P3659,Police Officer,
#86,14,P3470,Police Officer,
#87,7,P3709,Police Officer,
#88,,P3548,Police Officer,
#89,7,P3615,Police Officer,
#90,,P3712,Police Officer,
#91,,L392,Lieutenant,
#92,,P3145,Police Officer,
#93,,L434,Lieutenant,
#94,8,P3566,Police Officer,
#95,6,P3513,Police Officer,
#96,,D450,Detective,
#97,8,P3646,Police Officer,
#98,9,P3682,Police Officer,
#99,,DS163,Detective Sergeant,
#100,,P3088,Police Officer,
#101,,P3162,Police Officer,
#102,13,D576,Detective,
#103,,L473,Lieutenant,
#104,6,P3640,Police Officer,
#105,13,D563,Detective,
#106,5,P3517,Police Officer,
#107,,P2335,Police Officer,
#108,9,P3474,Police Officer,
#109,7,P3301,Police Officer,
#110,,P3097,Police Officer,
#111,,P2553,Police Officer,
#112,9,P3537,Police Officer,
#113,6,L423,Lieutenant,
#114,6,P2451,Police Officer,
#115,,P3253,Police Officer,
#116,9,P3571,Police Officer,
#117,7,P3634,Police Officer,
#118,,D564,Detective,
#119,14,P3172,Police Officer,
#120,14,P3275,Police Officer,
#121,,P3625,Police Officer,
#122,,P3276,Police Officer,
#123,14,P3393,Police Officer,
#124,5,L428,Lieutenant,
#125,12,P2047,Police Officer,
#126,14,P2050,Police Officer,
#127,,D453,Detective,
#128,10,DS554,Detective Sergeant,
#129,8,P2654,Police Officer,
#130,7,P3702,Police Officer,
#131,13,D457,Detective,
#132,5,P3636,Police Officer,
#133,6,P2202,Police Officer,
#134,,L474,Lieutenant,
#135,,P2793,Police Officer,
#136,9,P3277,Police Officer,
#137,8,P3551,Police Officer,
#138,5,P3603,Police Officer,
#139,8,P3470,Police Officer,
#140,,L394,Lieutenant,
#141,,C103,Captain,
#142,9,L435,Lieutenant,
#143,7,P3593,Police Officer,
#144,7,P3696,Police Officer,
#145,,L462,Lieutenant,
#146,14,P3380,Police Officer,
#147,5,P3089,Police Officer,
#148,7,P3706,Police Officer,
#149,,P3145,Police Officer,
#150,,P2342,Police Officer,
#151,,L3264,Lieutenant,
#152,6,L420,Lieutenant,
#153,,,Commissioner,
#154,7,P2933,Police Officer,
#155,5,P3511,Police Officer,
#156,,P3505,Police Officer,
#157,,P3364,Police Officer,
#158,,P2458,Police Officer,
#159,,P3253,Police Officer,
#160,5,P3661,Police Officer,
#161,,P3012,Police Officer,
#162,,P3470,Police Officer,
#163,,P2094,Police Officer,
#164,5,P3555,Police Officer,
#165,,P3145,Police Officer,
#166,14,P3172,Police Officer,
#167,,L430,Lieutenant,
#168,12,D615,Detective,
#169,6,P3676,Police Officer,
#170,9,P3592,Police Officer,
#171,,P2387,Police Officer,
#172,6,P3483,Police Officer,
#173,,P3174,Police Officer,
#174,,DS551,Detective Sergeant,
#175,14,P2249,Police Officer,
#176,6,P2379,Police Officer,
#177,8,P3381,Police Officer,
#178,,L440,Lieutenant,
#179,,P3029,Police Officer,
#180,6,P3596,Police Officer,
#181,,P3476,Police Officer,
#182,6,P3516,Police Officer,
#183,10,D541,Detective,
#184,14,L467,Lieutenant,
#185,,C117,Captain,
#186,,L405,Lieutenant,
#187,,P3460,Police Officer,
#188,11,L469,Lieutenant,
#189,5,P2857,Police Officer,
#190,7,P2105,Police Officer,
#191,14,P3145,Police Officer,
#192,5,P3526,Police Officer,
#193,14,P3172,Police Officer,
#194,,D625,Detective,
#195,,L335,Lieutenant,
#196,6,P3713,Police Officer,
#197,6,P3687,Police Officer,
#198,,P3428,Police Officer,
#199,7,P3572,Police Officer,
#200,13,P2113,Police Officer,
#201,12,P2129,Police Officer,
#202,,L377,Lieutenant,
#203,9,P3434,Police Officer,
#204,8,P3393,Police Officer,
#205,,P2897,Police Officer,
#206,6,P2197,Police Officer,
#207,10,D597,Detective,
#208,,DS167,Detective Sergeant,
#209,,P3647,Police Officer,
#210,14,P3514,Police Officer,
#211,,P3485,Police Officer,
#212,,P3498,Police Officer,
#213,7,P3580,Police Officer,
#214,,P3282,Police Officer,
#215,,D272,Detective,
#216,,P3610,Police Officer,
#217,,L448,Lieutenant,
#218,7,P3677,Police Officer,
#219,8,P2530,Police Officer,
#220,,P3412,Police Officer,
#221,8,P3658,Police Officer,
#222,,D566,Detective,
#223,14,L400,Lieutenant,
#224,7,P3130,Police Officer,
#225,6,P2213,Police Officer,
#226,,P2175,Police Officer,
#227,6,P3255,Police Officer,
#228,,D586,Detective,
#229,7,P3505,Police Officer,
#230,,P2025,Police Officer,
#231,12,D623,Detective,
#232,6,P3595,Police Officer,
#233,9,L459,Lieutenant,
#234,6,P3619,Police Officer,
#235,,P3180,Police Officer,
#236,8,P3549,Police Officer,
#237,,,Chief,
#238,6,P2761,Police Officer,
#239,14,P3436,Police Officer,
#240,,P3671,Police Officer,
#241,,L366,Lieutenant,
#242,9,D483,Detective,
#243,14,P2849,Police Officer,
#244,6,P3675,Police Officer,
#245,9,P3678,Police Officer,
#246,,P2470,Police Officer,
#247,6,D247,Detective,
#248,8,P3587,Police Officer,
#249,,P3468,Police Officer,
#250,9,P3353,Police Officer,
#251,11,P3437,Police Officer,
#252,,L285,Lieutenant,
#253,,P3461,Police Officer,
#254,14,P3410,Police Officer,
#255,,D606,Detective,
#256,5,P2726,Police Officer,
#257,6,P3499,Police Officer,
#258,,P2664,Police Officer,
#259,14,P2244,Police Officer,
#260,6,P3672,Police Officer,
#261,5,P3500,Police Officer,
#262,5,P3530,Police Officer,
#263,5,P3182,Police Officer,
#264,8,P3655,Police Officer,
#265,7,P2857,Police Officer,
#266,,P2250,Police Officer,
#267,,P3018,Police Officer,
#268,,P3465,Police Officer,
#269,,D608,Detective,
#270,,P3009,Police Officer,
#271,,P3438,Police Officer,
#272,6,P3653,Police Officer,
#273,5,P3529,Police Officer,
#274,5,D612,Detective,
#275,6,P3591,Police Officer,
#276,8,P3629,Police Officer,
#277,7,P2628,Police Officer,
#278,8,P2251,Police Officer,
#279,,DS553,Detective Sergeant,
#280,6,P2763,Police Officer,
#281,,P3312,Police Officer,
#282,9,L341,Lieutenant,
#283,,P2256,Police Officer,
#284,5,P3710,Police Officer,
#285,,D462,Detective,
#286,11,L432,Lieutenant,
#287,,P3168,Police Officer,
#288,,P3699,Police Officer,
#289,,P2596,Police Officer,
#290,,P3579,Police Officer,
#291,7,P3626,Police Officer,
#292,8,P2863,Police Officer,
#293,,P3169,Police Officer,
#294,,P2405,Police Officer,
#295,7,P2375,Police Officer,
#296,6,P2278,Police Officer,
#297,,P2547,Police Officer,
#298,,P2562,Police Officer,
#299,,C73,Captain,
#300,,P3385,Police Officer,
#301,,D577,Detective,
#302,8,P3670,Police Officer,
#303,,D628,Detective,
#304,8,P2281,Police Officer,
#305,6,P3501,Police Officer,
#306,7,P3698,Police Officer,
#307,,P3411,Police Officer,
#308,,P2280,Police Officer,
#309,,D545,Detective,
#310,9,L413,Lieutenant,
#311,11,P3414,Police Officer,
#312,,C74,Captain,
#313,6,P3253,Police Officer,
#314,,D485,Detective,
#315,7,P3649,Police Officer,
#316,6,P3693,Police Officer,
#317,6,P3669,Police Officer,
#318,10,D578,Detective,
#319,14,P3322,Police Officer,
#320,,L378,Lieutenant,
#321,,D395,Detective,
#322,,P2434,Police Officer,
#323,5,P3664,Police Officer,
#324,6,P3681,Police Officer,
#325,,P3339,Police Officer,
#326,11,L427,Lieutenant,
#327,,P3344,Police Officer,
#328,,C135,Captain,
#329,,P3624,Police Officer,
#330,,P3323,Police Officer,
#331,,P2072,Police Officer,
#332,5,P3589,Police Officer,
#333,,D444,Detective,
#334,9,P3527,Police Officer,
#335,9,P3386,Police Officer,
#336,5,D622,Detective,
#337,5,P3442,Police Officer,
#338,,P3309,Police Officer,
#339,,D436,Detective,
#340,12,L288,Lieutenant,
#341,5,L408,Lieutenant,
#342,6,P3632,Police Officer,
#343,,L451,Lieutenant,
#344,12,L350,Lieutenant,
#345,12,P3533,Police Officer,
#346,,P3209,Police Officer,
#347,12,D327,Detective,
#348,,P3504,Police Officer,
#349,,P3550,Police Officer,
#350,10,D588,Detective,
#351,,L365,Lieutenant,
#352,,P3637,Police Officer,
#353,,P3229,Police Officer,
#354,,P2697,Police Officer,
#355,,P3274,Police Officer,
#356,,L447,Lieutenant,
#357,,L429,Lieutenant,
#358,,P3186,Police Officer,
#359,,L437,Lieutenant,
#360,10,D556,Detective,
#361,8,P3349,Police Officer,
#362,,,Chief,
#363,,L426,Lieutenant,
#364,8,P2489,Police Officer,
#365,8,P2148,Police Officer,
#366,,P3459,Police Officer,
#367,,P2524,Police Officer,
#368,12,P2531,Police Officer,
#369,,L391,Lieutenant,
#370,5,P3111,Police Officer,
#371,9,P2033,Police Officer,
#372,9,D595,Detective,
#373,8,L466,Lieutenant,
#374,7,P2711,Police Officer,
#375,,P2469,Police Officer,
#376,7,,Police Officer,
#377,9,P3688,Police Officer,
#378,,L460,Lieutenant,
#379,8,P3616,Police Officer,
#380,5,P3635,Police Officer,
#381,8,P3012,Police Officer,
#382,11,L445,Lieutenant,
#383,8,P3685,Police Officer,
#384,,P3257,Police Officer,
#385,,P3287,Police Officer,
#386,11,L454,Lieutenant,
#387,,D582,Detective,
#388,,,Deputy Commissioner,
#389,,P3288,Police Officer,
#390,14,L443,Lieutenant,
#391,9,P2453,Police Officer,
#392,,D599,Detective,
#393,,P3416,Police Officer,
#394,14,P2609,Police Officer,
#395,14,P2028,Police Officer,
#396,12,D617,Detective,
#397,6,P2080,Police Officer,
#398,,L323,Lieutenant,
#399,9,P3652,Police Officer,
#400,,DS550,Detective Sergeant,
#401,,L272,Lieutenant,
#402,,P3417,Police Officer,
#403,,D471,Detective,
#404,,D602,Detective,
#405,,L358,Lieutenant,
#406,8,P2083,Police Officer,
#407,,C97,Captain,
#408,10,D484,Detective,
#409,6,P3505,Police Officer,
#410,,D502,Detective,
#411,5,L445,Lieutenant,
#412,,C88,Captain,
#413,13,L332,Lieutenant,
#414,,C116,Captain,
#415,6,P3559,Police Officer,
#416,,P2336,Police Officer,
#417,,D175,Detective,
#418,,P3177,Police Officer,
#419,,P2792,Police Officer,
#420,5,P3460,Police Officer,
#421,14,P3348,Police Officer,
