officer_id,salary,year,is_fiscal_year,id
#1,71006.0,2020,T,
#2,95068.0,2020,T,
#4,107987.0,2020,T,
83833,145345.0,2020,T,
83835,127457.0,2020,T,
#7,117978.0,2020,T,
83836,124398.0,2020,T,
#11,111325.0,2020,T,
#12,83650.0,2020,T,
#14,155782.0,2020,T,
#15,181375.0,2020,T,
#17,117925.0,2020,T,
#18,114491.0,2020,T,
#19,117036.0,2020,T,
#21,83064.0,2020,T,
#22,66696.0,2020,T,
#23,73884.0,2020,T,
#25,83058.0,2020,T,
#26,86159.0,2020,T,
#28,107353.0,2020,T,
#29,133090.0,2020,T,
#30,91970.0,2020,T,
#32,137055.0,2020,T,
#33,31712.0,2020,T,
#34,98275.0,2020,T,
#35,84620.0,2020,T,
#36,85640.0,2020,T,
#37,65785.0,2020,T,
#38,100937.0,2020,T,
#39,135461.0,2020,T,
#40,83765.0,2020,T,
#41,110544.0,2020,T,
#42,114246.0,2020,T,
#43,135100.0,2020,T,
#44,116082.0,2020,T,
#47,113752.0,2020,T,
#48,92991.0,2020,T,
#49,107341.0,2020,T,
#50,65913.0,2020,T,
#51,86317.0,2020,T,
#56,38557.0,2020,T,
#58,117481.0,2020,T,
#59,84729.0,2020,T,
#61,98893.0,2020,T,
#62,118336.0,2020,T,
#63,99459.0,2020,T,
#65,84712.0,2020,T,
#66,109778.0,2020,T,
#67,102717.0,2020,T,
#69,101740.0,2020,T,
#71,68917.0,2020,T,
#72,89907.0,2020,T,
#75,127921.0,2020,T,
#78,146865.0,2020,T,
#79,76550.0,2020,T,
#81,126587.0,2020,T,
#83,98828.0,2020,T,
#84,94180.0,2020,T,
#85,70333.0,2020,T,
#86,94432.0,2020,T,
#87,71113.0,2020,T,
#88,104593.0,2020,T,
#89,77431.0,2020,T,
#90,110716.0,2020,T,
#93,150846.0,2020,T,
#94,97187.0,2020,T,
#95,72762.0,2020,T,
#97,77407.0,2020,T,
#98,75474.0,2020,T,
#102,112705.0,2020,T,
#103,127581.0,2020,T,
#104,74374.0,2020,T,
#105,104760.0,2020,T,
#106,84989.0,2020,T,
#108,113500.0,2020,T,
#109,109915.0,2020,T,
#112,111139.0,2020,T,
#113,146287.0,2020,T,
#114,93525.0,2020,T,
#116,94259.0,2020,T,
#117,67938.0,2020,T,
#118,185630.0,2020,T,
#119,86390.0,2020,T,
#120,100999.0,2020,T,
#121,71176.0,2020,T,
#123,86800.0,2020,T,
#125,112333.0,2020,T,
#126,83125.0,2020,T,
#128,214877.0,2020,T,
#129,105627.0,2020,T,
#130,75775.0,2020,T,
#131,150336.0,2020,T,
#132,66334.0,2020,T,
#133,92770.0,2020,T,
#134,106674.0,2020,T,
#135,87939.0,2020,T,
#137,119789.0,2020,T,
#138,89165.0,2020,T,
#139,119924.0,2020,T,
#142,149078.0,2020,T,
#143,106334.0,2020,T,
#144,76782.0,2020,T,
#146,103246.0,2020,T,
#147,111202.0,2020,T,
#148,97521.0,2020,T,
#150,91267.0,2020,T,
#152,126623.0,2020,T,
#154,87428.0,2020,T,
#155,84539.0,2020,T,
#156,94357.0,2020,T,
#160,71859.0,2020,T,
#163,106770.0,2020,T,
#164,86735.0,2020,T,
#166,105404.0,2020,T,
#168,126808.0,2020,T,
#169,73315.0,2020,T,
#170,82279.0,2020,T,
#172,84296.0,2020,T,
#174,52968.0,2020,T,
#175,108799.0,2020,T,
#176,72339.0,2020,T,
#177,104154.0,2020,T,
#180,85260.0,2020,T,
#183,152346.0,2020,T,
#184,109042.0,2020,T,
#187,83002.0,2020,T,
#188,130703.0,2020,T,
#189,88180.0,2020,T,
#191,97575.0,2020,T,
#192,83192.0,2020,T,
#193,103753.0,2020,T,
#194,122996.0,2020,T,
#195,175135.0,2020,T,
#196,79972.0,2020,T,
#197,73003.0,2020,T,
#198,92194.0,2020,T,
#200,136998.0,2020,T,
#201,103104.0,2020,T,
#203,106126.0,2020,T,
#204,105530.0,2020,T,
#206,117172.0,2020,T,
#207,102051.0,2020,T,
#209,38794.0,2020,T,
#210,112314.0,2020,T,
#211,93540.0,2020,T,
#213,108775.0,2020,T,
#215,6407.0,2020,T,
#216,82523.0,2020,T,
#217,114403.0,2020,T,
#218,79465.0,2020,T,
#219,83961.0,2020,T,
#220,69860.0,2020,T,
#221,74789.0,2020,T,
#222,175960.0,2020,T,
#223,135089.0,2020,T,
#224,98682.0,2020,T,
#225,116635.0,2020,T,
#227,151692.0,2020,T,
#229,84196.0,2020,T,
#231,111176.0,2020,T,
#232,123448.0,2020,T,
#233,105468.0,2020,T,
#234,106542.0,2020,T,
#236,92442.0,2020,T,
#237,132801.0,2020,T,
#239,140748.0,2020,T,
#241,99218.0,2020,T,
#242,151297.0,2020,T,
#243,97497.0,2020,T,
#244,87559.0,2020,T,
#245,82580.0,2020,T,
#246,75348.0,2020,T,
#248,113923.0,2020,T,
#250,93250.0,2020,T,
#251,84110.0,2020,T,
#254,110367.0,2020,T,
#256,95934.0,2020,T,
#257,116696.0,2020,T,
#258,87580.0,2020,T,
#259,85749.0,2020,T,
#260,74908.0,2020,T,
#261,86788.0,2020,T,
#262,105739.0,2020,T,
#264,72072.0,2020,T,
#265,87413.0,2020,T,
#266,123079.0,2020,T,
#267,90386.0,2020,T,
#269,116107.0,2020,T,
#271,104739.0,2020,T,
#272,72033.0,2020,T,
#273,101839.0,2020,T,
#274,130474.0,2020,T,
#275,97581.0,2020,T,
#276,79836.0,2020,T,
#277,113854.0,2020,T,
#278,101811.0,2020,T,
#280,95013.0,2020,T,
#282,100653.0,2020,T,
#284,75196.0,2020,T,
#285,108965.0,2020,T,
#286,116063.0,2020,T,
#288,69058.0,2020,T,
#289,8369.0,2020,T,
#290,103795.0,2020,T,
#291,79397.0,2020,T,
#292,105676.0,2020,T,
#294,111982.0,2020,T,
#295,93069.0,2020,T,
#296,108004.0,2020,T,
#299,139435.0,2020,T,
#302,60672.0,2020,T,
#304,120827.0,2020,T,
#305,117732.0,2020,T,
#307,43813.0,2020,T,
#310,114558.0,2020,T,
#311,100710.0,2020,T,
#312,121396.0,2020,T,
#313,116978.0,2020,T,
#315,89658.0,2020,T,
#316,89696.0,2020,T,
#317,71711.0,2020,T,
#318,113527.0,2020,T,
#319,86375.0,2020,T,
#323,77560.0,2020,T,
#324,73621.0,2020,T,
#326,122260.0,2020,T,
#327,125063.0,2020,T,
#328,121706.0,2020,T,
#330,126172.0,2020,T,
#332,95550.0,2020,T,
#334,105161.0,2020,T,
#335,136091.0,2020,T,
#336,96019.0,2020,T,
#337,83260.0,2020,T,
#341,123637.0,2020,T,
#342,78400.0,2020,T,
#343,117752.0,2020,T,
#344,182927.0,2020,T,
#345,110812.0,2020,T,
#347,125926.0,2020,T,
#348,86566.0,2020,T,
#349,115085.0,2020,T,
#350,140429.0,2020,T,
#355,85852.0,2020,T,
#357,143882.0,2020,T,
#359,122292.0,2020,T,
#361,90543.0,2020,T,
#362,132601.0,2020,T,
#364,112797.0,2020,T,
#367,103665.0,2020,T,
#368,99266.0,2020,T,
#370,114810.0,2020,T,
#371,74803.0,2020,T,
#372,140835.0,2020,T,
#373,117352.0,2020,T,
#374,98730.0,2020,T,
#376,64893.0,2020,T,
#377,85670.0,2020,T,
#378,115920.0,2020,T,
#379,87080.0,2020,T,
#380,67162.0,2020,T,
#381,93678.0,2020,T,
#383,72086.0,2020,T,
#386,119098.0,2020,T,
#388,153378.0,2020,T,
#390,118657.0,2020,T,
#391,90208.0,2020,T,
#394,90494.0,2020,T,
#396,118118.0,2020,T,
#397,97279.0,2020,T,
#398,102033.0,2020,T,
#399,60616.0,2020,T,
#400,155099.0,2020,T,
#402,143601.0,2020,T,
#404,133583.0,2020,T,
#406,75751.0,2020,T,
#408,219634.0,2020,T,
#409,107100.0,2020,T,
#411,111117.0,2020,T,
#413,102484.0,2020,T,
#415,99681.0,2020,T,
#418,96637.0,2020,T,
#420,85713.0,2020,T,
#421,85894.0,2020,T,
#422,71776.0,2020,T,
#423,84373.0,2020,T,
#424,124103.0,2020,T,
#426,192808.0,2020,T,
#427,83377.0,2020,T,
#428,138320.0,2020,T,
#429,92384.0,2020,T,
#430,100442.0,2020,T,
#432,116580.0,2020,T,
#433,118857.0,2020,T,
#434,183481.0,2020,T,
#435,70983.0,2020,T,
#436,101052.0,2020,T,
#437,116496.0,2020,T,
#438,107648.0,2020,T,
#439,117722.0,2020,T,
#440,32070.0,2020,T,
#441,90189.0,2020,T,
#444,85734.0,2020,T,
#445,120315.0,2020,T,
#448,123924.0,2020,T,
#450,97751.0,2020,T,
#456,110539.0,2020,T,
#458,92911.0,2020,T,
#460,121746.0,2020,T,
#461,108648.0,2020,T,
#462,89404.0,2020,T,
#463,97505.0,2020,T,
#464,110006.0,2020,T,
#465,104715.0,2020,T,
#466,87996.0,2020,T,
#467,95555.0,2020,T,
