officer_id,salary,year,is_fiscal_year,id
#788,63342.0,2020,T,
#789,60042.0,2020,T,
#790,50141.0,2020,T,
#791,50928.0,2020,T,
#792,52469.0,2020,T,
#793,56155.0,2020,T,
#794,50712.0,2020,T,
#795,62842.0,2020,T,
#796,55141.0,2020,T,
#797,51060.0,2020,T,
#798,73844.0,2020,T,
#799,51718.0,2020,T,
#800,66170.0,2020,T,
#802,57561.0,2020,T,
#803,63923.0,2020,T,
#804,138615.0,2020,T,
#805,126076.0,2020,T,
#806,56554.0,2020,T,
#807,58692.0,2020,T,
#808,50827.0,2020,T,
#809,64850.0,2020,T,
#810,82481.0,2020,T,
#811,50987.0,2020,T,
#813,64876.0,2020,T,
#814,66689.0,2020,T,
#815,64925.0,2020,T,
#816,51198.0,2020,T,
#817,88952.0,2020,T,
#818,68994.0,2020,T,
#819,65332.0,2020,T,
#820,49527.0,2020,T,
#821,59091.0,2020,T,
#822,63471.0,2020,T,
#823,50441.0,2020,T,
#824,67358.0,2020,T,
#825,74095.0,2020,T,
#826,64598.0,2020,T,
#827,60842.0,2020,T,
#828,66162.0,2020,T,
#829,50187.0,2020,T,
#830,69721.0,2020,T,
#831,67200.0,2020,T,
#832,60933.0,2020,T,
#835,61930.0,2020,T,
#836,51161.0,2020,T,
#837,66128.0,2020,T,
#838,50702.0,2020,T,
#840,68052.0,2020,T,
#841,50541.0,2020,T,
#842,64974.0,2020,T,
#843,67802.0,2020,T,
#844,58183.0,2020,T,
#845,50454.0,2020,T,
#848,50055.0,2020,T,
#849,61433.0,2020,T,
#850,61653.0,2020,T,
#851,66093.0,2020,T,
#852,63117.0,2020,T,
#853,60683.0,2020,T,
#854,56760.0,2020,T,
#855,70456.0,2020,T,
#856,62750.0,2020,T,
#857,49863.0,2020,T,
#858,49981.0,2020,T,
#859,85349.0,2020,T,
#860,51415.0,2020,T,
#861,63754.0,2020,T,
#862,72373.0,2020,T,
#863,74806.0,2020,T,
#864,63155.0,2020,T,
#865,65542.0,2020,T,
#866,58537.0,2020,T,
#867,65612.0,2020,T,
#868,50243.0,2020,T,
#869,49779.0,2020,T,
#870,62239.0,2020,T,
#871,75254.0,2020,T,
#872,62428.0,2020,T,
#873,49883.0,2020,T,
#874,65955.0,2020,T,
#875,57228.0,2020,T,
#876,52432.0,2020,T,
#877,51534.0,2020,T,
#878,52113.0,2020,T,
#879,64348.0,2020,T,
#880,65379.0,2020,T,
#881,67323.0,2020,T,
#883,50400.0,2020,T,
#884,134564.0,2020,T,
#885,62270.0,2020,T,
#886,63911.0,2020,T,
#887,69493.0,2020,T,
#888,18547.0,2020,T,
#889,61714.0,2020,T,
#890,60797.0,2020,T,
#891,56866.0,2020,T,
#892,66180.0,2020,T,
#893,67353.0,2020,T,
#894,72878.0,2020,T,
86287,57955.0,2020,T,
#896,72596.0,2020,T,
#898,97092.0,2020,T,
#899,50366.0,2020,T,
#900,64874.0,2020,T,
#901,67316.0,2020,T,
86295,57937.0,2020,T,
#904,70940.0,2020,T,
#905,56888.0,2020,T,
#906,58573.0,2020,T,
#907,62136.0,2020,T,
#908,75973.0,2020,T,
#909,54926.0,2020,T,
#910,55737.0,2020,T,
#911,72798.0,2020,T,
#912,64056.0,2020,T,
#913,68432.0,2020,T,
#914,76498.0,2020,T,
#915,66828.0,2020,T,
#916,63802.0,2020,T,
#917,66185.0,2020,T,
#918,76373.0,2020,T,
#919,50224.0,2020,T,
#920,65205.0,2020,T,
#921,50117.0,2020,T,
#922,50305.0,2020,T,
#923,65859.0,2020,T,
#924,50543.0,2020,T,
#925,115041.0,2020,T,
86290,62048.0,2020,T,
#928,50037.0,2020,T,
#929,50793.0,2020,T,
#930,54574.0,2020,T,
#931,50636.0,2020,T,
#932,64859.0,2020,T,
#933,50640.0,2020,T,
#934,113372.0,2020,T,
#935,108194.0,2020,T,
#936,67578.0,2020,T,
#937,67395.0,2020,T,
#938,59334.0,2020,T,
#939,71758.0,2020,T,
#940,74395.0,2020,T,
#941,86089.0,2020,T,
#942,61038.0,2020,T,
#943,66588.0,2020,T,
#944,64529.0,2020,T,
#945,69353.0,2020,T,
#946,64094.0,2020,T,
#947,65425.0,2020,T,
#948,60563.0,2020,T,
86291,66847.0,2020,T,
#950,50062.0,2020,T,
#951,66991.0,2020,T,
#952,60167.0,2020,T,
#953,63482.0,2020,T,
#954,70029.0,2020,T,
#955,83985.0,2020,T,
#956,50583.0,2020,T,
#957,65285.0,2020,T,
#958,71362.0,2020,T,
#959,85118.0,2020,T,
#960,62453.0,2020,T,
#961,55989.0,2020,T,
#962,50586.0,2020,T,
#963,60113.0,2020,T,
#964,84706.0,2020,T,
#965,66316.0,2020,T,
#966,50823.0,2020,T,
#967,94424.0,2020,T,
#968,71795.0,2020,T,
#970,67018.0,2020,T,
#971,68272.0,2020,T,
86292,57909.0,2020,T,
#973,51594.0,2020,T,
86301,57394.0,2020,T,
#975,60691.0,2020,T,
#976,66268.0,2020,T,
#977,59285.0,2020,T,
#978,57211.0,2020,T,
#979,50847.0,2020,T,
#980,74834.0,2020,T,
#982,63132.0,2020,T,
