cops_index,assignment_index
0,17488
1,53
1,54
2,516
3,729
4,1024
5,3882
6,4541
6,4542
6,4543
7,5086
8,5106
8,5107
8,5108
9,5606
9,5607
9,5608
10,6287
11,6653
11,6654
11,6655
12,7060
13,7217
14,7464
14,7465
14,7466
14,7467
14,7468
15,9797
16,10507
17,13855
18,14139
19,14234
19,14235
20,15507
21,16729
22,18118
22,18119
23,18534
24,20070
25,20720
26,24472
27,24841
27,24842
27,24843
27,24844
27,24845
27,24846
28,25179
29,25632
29,25633
30,25820
30,25821
30,25822
30,25823
30,25824
31,27873
32,28140
32,28141
32,28142
32,28143
33,33907
34,34027
34,34028
34,34029
35,34024
35,34025
35,34026
36,1240
37,32085
38,45
38,46
38,47
39,8836
40,432
41,15508
41,15509
41,15510
42,22254
43,33379
44,22946
45,2325
46,10689
47,13099
47,13100
48,23952
48,23953
49,25807
50,33427
51,27487
52,1308
53,939
54,13650
54,13651
55,13793
56,27488
56,27489
57,277
57,278
58,6200
59,6466
59,6467
59,6468
59,6469
60,9051
61,9065
62,17694
63,31811
64,34577
65,19461
65,19462
65,19463
65,19464
66,4646
66,4647
67,20562
68,6555
69,2375
69,2376
69,2377
70,10779
71,26329
72,27747
73,571
74,840
75,1988
76,2142
77,2941
78,3883
79,6483
79,6484
79,6485
80,7001
81,7061
82,7532
82,7533
82,7534
83,7709
84,9704
84,9705
85,10292
86,13524
87,13639
87,13640
88,13695
89,15171
90,15283
91,16066
91,16067
92,17388
93,17757
93,17758
94,21366
95,22683
95,22684
95,22685
96,22828
97,23143
98,23662
99,24071
100,24698
100,24699
101,25209
102,25301
103,26005
104,26591
105,27080
106,27961
107,29251
107,29252
108,29783
108,29784
109,30665
109,30666
110,30869
111,31507
111,31508
111,31509
112,31775
113,31953
114,33407
115,34171
116,35043
117,35158
118,35715
118,35716
119,21781
120,1690
121,11739
122,24802
123,24933
124,26240
125,32226
126,941
127,23986
128,28177
129,2589
130,16780
131,5683
131,5684
132,7686
133,8534
134,9445
134,9446
135,14709
135,14710
136,28507
137,12610
137,12611
137,12612
138,2746
139,10780
139,10781
139,10782
139,10783
140,18695
140,18696
141,390
142,10784
142,10785
142,10786
143,21260
144,717
145,6165
146,6556
147,7434
148,7535
149,7738
150,9870
150,9871
151,10787
152,10788
153,12284
154,12305
155,12427
156,17544
156,17545
157,18572
158,18808
159,19839
160,20725
161,22724
162,22734
162,22735
163,24238
164,24934
164,24935
165,25569
165,25570
165,25571
166,27979
167,30101
168,31812
169,32873
169,32874
170,32920
171,33525
171,33526
172,35728
172,35729
173,12649
173,12650
174,2479
174,2480
174,2481
175,16949
175,16950
175,16951
176,20942
177,35841
178,10262
179,27349
179,27350
180,27016
180,27017
180,27018
180,27019
181,22781
182,29394
183,29552
183,29553
183,29554
184,30836
185,33070
186,5325
187,5264
188,3338
189,21308
190,23917
191,31589
192,32312
193,35754
194,4996
195,28514
195,28515
195,28516
195,28517
196,32407
197,19885
198,1016
199,1275
200,23635
201,20943
202,24936
203,5143
204,23464
204,23465
205,13141
205,13142
205,13143
206,7829
207,16811
208,31388
209,8869
210,26898
211,15289
212,1102
213,20837
214,32838
214,32839
214,32840
214,32841
215,9828
216,8822
217,33409
218,12582
219,13696
220,23512
221,21662
222,28813
223,946
224,7830
225,8823
226,261
227,1989
227,1990
228,2405
229,3671
230,5147
231,8405
232,8628
233,9244
234,10339
235,10772
236,13434
237,14735
237,14736
238,14762
238,14763
239,15039
240,15290
241,15841
242,16082
243,17201
243,17202
244,17375
244,17376
244,17377
244,17378
245,17735
245,17736
246,17907
247,18817
248,21170
248,21171
248,21172
249,21239
250,25051
251,27277
251,27278
251,27279
252,27706
253,27707
253,27708
254,29202
255,30064
256,30447
257,30986
258,31984
259,34353
260,34439
261,34619
261,34620
261,34621
261,34622
262,35086
263,35393
264,35404
265,31095
266,30073
267,730
268,929
269,1167
270,5238
271,7920
272,9321
272,9322
273,10241
274,10256
275,10777
276,12058
277,12613
278,14816
279,15511
280,18573
280,18574
281,20133
281,20134
282,20944
282,20945
282,20946
282,20947
282,20948
283,22877
284,24056
285,24057
285,24058
285,24059
285,24060
286,24937
286,24938
286,24939
287,25215
288,25537
289,25720
289,25721
289,25722
289,25723
289,25724
289,25725
289,25726
289,25727
290,25818
291,29142
292,31418
293,31544
294,31719
295,31813
295,31814
295,31815
296,32319
297,34334
298,34851
298,34852
299,35160
300,35379
300,35380
300,35381
301,11921
302,26490
302,26491
303,331
304,6315
305,11011
306,11740
307,21567
308,24103
309,25041
310,26717
310,26718
311,27490
312,28477
313,28627
314,31900
315,35681
316,2224
317,30546
318,3383
318,3384
319,4132
320,21043
321,11665
321,11666
322,16153
322,16154
322,16155
322,16156
323,33478
323,33479
324,7818
325,4295
326,19126
326,19127
327,21106
328,55
329,530
330,609
331,1205
332,1462
333,4033
333,4034
333,4035
333,4036
334,5116
334,5117
335,5339
336,7472
336,7473
336,7474
337,7589
338,9019
339,10674
340,12494
340,12495
341,13697
342,21107
342,21108
342,21109
342,21110
342,21111
342,21112
342,21113
342,21114
343,21557
343,21558
344,21969
345,23776
346,27829
347,27980
348,28853
349,29831
349,29832
349,29833
350,32921
350,32922
351,33099
351,33100
351,33101
352,33273
353,231
354,2359
355,15941
356,4991
356,4992
356,4993
357,35817
357,35818
358,30082
358,30083
359,10263
359,10264
359,10265
359,10266
359,10267
359,10268
360,22065
361,19908
362,208
363,960
364,2536
365,4011
366,5597
366,5598
367,5978
368,8714
369,9003
370,9084
371,11012
372,11667
373,12168
374,12496
375,14313
376,14329
377,15232
378,15855
379,16688
380,17607
381,18575
382,25679
383,25688
383,25689
384,26439
385,26641
386,27736
387,28128
387,28129
388,29794
389,31100
390,33540
391,35170
391,35171
392,35451
393,35781
394,36
395,1930
396,4123
397,4556
398,4989
399,5255
400,6695
401,8834
401,8835
402,10244
403,10699
404,10789
405,11263
406,11668
407,11741
408,12480
409,14064
409,14065
410,14092
411,16552
411,16553
412,16760
412,16761
413,17331
414,17845
415,18863
416,20705
417,21173
417,21174
417,21175
417,21176
417,21177
418,21890
419,22358
420,22911
421,22916
422,24556
423,24940
424,27789
425,28494
426,30884
427,31079
427,31080
427,31081
428,31499
429,33274
430,33426
431,34080
432,11742
433,14086
434,18395
434,18396
435,19709
436,21293
437,23056
438,26380
439,33102
440,33981
441,52
442,665
443,6276
443,6277
444,10488
445,14695
446,20736
447,30547
447,30548
448,30549
449,33353
450,35682
450,35683
450,35684
451,9059
452,3385
453,18496
453,18497
454,24654
454,24655
455,8390
456,1884
456,1885
457,6702
458,13794
458,13795
459,18999
460,33955
461,35382
461,35383
462,8323
462,8324
463,13698
463,13699
464,1984
464,1985
464,1986
465,3386
466,4693
466,4694
466,4695
466,4696
466,4697
466,4698
467,8163
468,9475
469,11013
470,16579
471,17113
472,19491
473,20066
474,22642
474,22643
474,22644
474,22645
475,24421
476,24941
477,27351
478,28897
479,31670
480,32074
481,32082
482,34853
483,28233
484,958
485,4133
485,4134
485,4135
486,4826
487,5118
488,7527
488,7528
488,7529
488,7530
488,7531
489,8021
490,11887
491,18285
492,19710
493,21081
494,23991
495,24193
496,26497
497,26710
498,27081
499,27491
499,27492
500,29834
501,33529
501,33530
501,33531
502,10954
503,3623
503,3624
504,12796
505,1419
506,4712
506,4713
507,7364
508,7449
509,19149
509,19150
510,23528
511,26088
512,35430
513,5864
514,6557
514,6558
515,13532
516,13796
517,27790
518,28628
518,28629
519,32610
520,2661
520,2662
520,2663
520,2664
521,28111
521,28112
521,28113
522,31913
523,7926
524,21669
525,11458
525,11459
526,8111
527,3729
528,34839
529,5273
529,5274
529,5275
530,24307
530,24308
531,25069
532,33451
533,29529
534,1235
534,1236
534,1237
534,1238
534,1239
535,1767
536,8677
537,10664
538,12461
539,16895
540,18138
540,18139
541,19395
542,20055
543,27769
544,12814
545,34625
545,34626
545,34627
545,34628
546,2686
547,4096
547,4097
547,4098
548,9610
548,9611
549,10692
550,12725
550,12726
551,12815
552,13287
552,13288
553,14976
553,14977
553,14978
553,14979
554,15193
555,15993
556,17012
557,17908
557,17909
557,17910
557,17911
558,17912
559,18044
560,20401
561,22409
562,22712
563,25251
564,25259
565,30133
566,31414
567,31631
568,7641
569,1168
570,12735
571,17286
571,17287
572,29083
572,29084
572,29085
572,29086
572,29087
572,29088
573,30987
574,31510
575,33510
576,32991
577,2706
577,2707
578,15291
578,15292
578,15293
579,26531
580,4398
581,19305
582,25825
582,25826
583,27493
584,28229
585,21799
586,11014
587,4886
588,6262
589,14826
590,27327
590,27328
590,27329
590,27330
590,27331
590,27332
591,26588
592,32274
593,696
594,16363
594,16364
594,16365
595,32456
596,3352
597,3387
597,3388
598,279
598,280
598,281
599,4296
600,4546
601,10675
602,33511
603,707
603,708
604,3389
605,4286
606,5635
607,6410
608,7841
608,7842
608,7843
609,12246
609,12247
610,12260
610,12261
611,13032
612,15512
612,15513
612,15514
613,19996
614,21800
614,21801
615,24327
616,25647
617,27709
618,28814
619,30130
620,30686
621,30784
622,30837
623,32142
624,33908
625,34254
625,34255
626,240
627,12364
628,21905
629,26241
630,27781
631,12663
632,6166
632,6167
633,12769
633,12770
634,373
635,878
636,2093
637,6559
638,7406
639,9872
640,16891
640,16892
640,16893
640,16894
641,17373
642,18050
643,21767
644,27082
645,30134
645,30135
646,33058
646,33059
647,33398
647,33399
648,35205
649,6608
650,21178
651,33082
652,10495
653,17455
654,32252
654,32253
655,2866
656,8061
657,15905
658,29464
659,26703
659,26704
659,26705
660,22587
661,16447
661,16448
661,16449
661,16450
661,16451
661,16452
662,31741
662,31742
663,23258
663,23259
663,23260
664,8909
665,15255
665,15256
666,12271
667,6945
668,13313
669,18576
670,21582
671,32189
672,3741
673,1324
674,3379
675,4252
675,4253
676,4436
676,4437
677,5271
678,9727
679,13652
680,14587
681,16492
682,16580
683,18122
684,18818
685,19887
686,20307
687,20791
687,20792
687,20793
687,20794
688,21658
688,21659
689,23003
690,23992
690,23993
690,23994
691,25175
691,25176
692,33521
692,33522
692,33523
693,35178
694,35531
695,12193
695,12194
696,23213
696,23214
697,24194
698,25413
698,25414
699,27494
699,27495
700,33001
700,33002
700,33003
700,33004
701,33198
702,25792
703,18035
704,13700
705,16422
705,16423
705,16424
705,16425
705,16426
705,16427
705,16428
706,5025
707,24419
708,24656
709,20042
710,30136
711,18140
711,18141
711,18142
712,2119
712,2120
712,2121
712,2122
713,3756
713,3757
714,5426
715,6072
716,6385
717,6697
717,6698
718,7634
718,7635
718,7636
719,10402
720,12205
721,13144
722,13145
722,13146
722,13147
722,13148
722,13149
722,13150
722,13151
723,14827
724,21051
725,21052
726,22687
727,24446
727,24447
727,24448
728,25692
728,25693
729,26562
730,26743
731,30376
732,30587
732,30588
732,30589
733,32180
733,32181
734,34111
734,34112
734,34113
735,34629
736,34884
737,35206
737,35207
737,35208
737,35209
737,35210
738,13314
738,13315
738,13316
738,13317
738,13318
738,13319
739,3994
740,6233
741,6288
741,6289
742,7490
742,7491
743,12976
744,13481
744,13482
745,15250
746,16706
747,17479
747,17480
748,21346
748,21347
749,27280
750,27496
751,29040
751,29041
751,29042
751,29043
752,29513
752,29514
752,29515
753,33673
754,14617
755,1724
755,1725
755,1726
755,1727
755,1728
756,6482
757,6599
758,6612
759,7536
760,8535
761,11727
762,11743
763,13323
764,18433
764,18434
765,27497
765,27498
766,31767
766,31768
767,33017
767,33018
767,33019
768,33162
769,35689
769,35690
769,35691
769,35692
769,35693
770,35730
771,12
772,528
773,1188
774,1291
775,1383
776,2409
777,2600
777,2601
778,2607
778,2608
778,2609
779,3174
780,3906
780,3907
781,4354
782,4779
783,4810
784,5323
785,5382
786,5416
787,6242
787,6243
787,6244
788,6686
788,6687
789,6809
790,6884
790,6885
791,7062
792,7218
793,7623
794,7921
794,7922
795,7941
