index,UID
0,100006
1,100007
2,100008
4,100009
5,100010
6,100011
7,100012
8,100013
9,100014
10,100015
11,100016
12,100018
13,100019
14,100020
15,100021
17,100024
19,100025
21,100026
22,100027
23,100028
24,100029
25,100030
26,100031
27,100032
28,100033
29,100034
30,100035
31,100036
32,100037
33,100038
34,100039
35,100040
36,100041
37,100042
38,100044
40,100045
41,100046
42,100047
43,100049
44,100050
45,100051
46,100054
47,100055
48,100056
49,100057
51,100058
52,100059
54,100060
55,100061
56,100062
57,100063
59,100064
61,100065
62,100068
63,100070
65,100072
66,100073
67,100074
68,100075
69,100076
70,100077
71,100078
73,100079
74,100080
75,100082
76,100083
77,100085
78,100088
79,100089
80,100090
82,100091
83,100093
84,100094
85,100095
87,100096
88,100097
89,100098
90,100099
91,100100
93,100102
94,100104
95,100105
98,100106
99,100107
100,100108
101,100109
102,100110
103,100112
106,100113
107,100114
108,100115
109,100116
110,100117
111,100118
112,132972
115,132410
116,100119
117,100120
118,100121
119,100123
121,100124
123,100125
124,100126
125,100127
127,100130
129,100131
130,100132
131,100133
134,100134
135,100135
136,100136
137,100137
138,100139
139,100140
140,100141
141,100142
142,100148
143,100150
144,100151
145,100152
146,100153
147,100154
149,100155
150,100156
151,100157
152,100158
153,100159
156,100160
157,100161
158,100162
162,100163
164,100164
165,100165
166,100166
167,100168
168,100169
170,100170
171,100172
172,100173
173,100174
174,100175
175,100176
176,100177
177,100178
178,100179
179,100180
180,100181
181,100182
182,100183
183,100184
184,100185
185,100186
186,100187
187,100188
188,100191
189,100192
191,100194
192,100195
193,100196
194,100197
195,100199
196,100200
197,100201
201,100202
202,100203
204,100205
205,100206
207,100207
208,100208
209,100209
210,100210
211,100211
212,100212
213,100213
214,100214
218,100217
219,100218
220,100219
221,100220
222,100221
223,100222
225,100223
226,100225
227,100229
229,100232
230,100234
231,100237
232,100238
233,100239
234,100240
235,100241
236,100243
237,100246
238,100247
239,100248
240,100249
241,100250
242,100251
243,100256
244,100257
245,100258
246,100259
247,100261
248,100263
249,100264
250,100267
251,100268
252,100269
253,100270
254,100272
255,100273
257,100274
258,100275
259,100276
260,100277
261,100278
262,100279
263,100280
264,100281
265,100283
267,100285
268,100286
269,100288
270,100292
271,100297
272,100299
273,100300
274,100302
275,100304
276,100306
277,100307
278,100311
279,100314
280,100324
281,100326
282,100331
283,100334
284,100337
285,100338
286,100340
287,100341
288,100343
289,100344
290,100345
291,100352
292,100356
293,100357
294,100359
295,100360
296,100362
297,100366
298,100367
299,100368
300,132429
301,100369
302,100370
303,100372
304,100373
305,100374
306,100375
307,100377
308,100378
310,100379
311,100380
312,100381
315,100382
317,100387
318,100388
319,100389
320,100390
322,100392
323,100393
324,100394
326,100395
327,100396
328,100397
329,100398
330,100399
332,100400
333,100401
334,100402
335,100403
336,100404
