id,officer_id,badge_number,job_title,start_date,resign_date
,#U100005,,POLICE OFFICER,,
,#U100006,15869,POLICE OFFICER,1987-04-27,2004-03-15
17,11958,7792,POLICE OFFICER,2010-06-14,2018-11-02
,11958,20009,DETECTIVE,2018-11-02,
,#U100008,9516,POLICE OFFICER,2016-12-28,
360,12301,13768,POLICE OFFICER,2006-04-19,
1288,13227,4534,POLICE OFFICER,2013-11-12,
,13436,13693,POLICE OFFICER,2005-05-24,2016-02-01
1497,13436,2349,SERGEANT,2016-02-03,2017-02-24
,13436,1140,SERGEANT,2017-02-24,
1703,13642,8742,POLICE OFFICER,2007-11-14,
,13642,8742,FIELD TRAINING OFFICER,,
,13649,16451,POLICE OFFICER,1998-04-01,2000-08-31
1710,13649,21313,DETECTIVE,2000-08-31,2016-06-01
,13649,1245,SERGEANT,2016-06-01,
,13844,19133,POLICE OFFICER,1997-05-12,2007-03-30
1905,13844,20475,DETECTIVE,2007-03-30,2017-12-15
,13844,1041,SERGEANT,2017-12-15,
,13844,1041,DETECTIVE,,
2161,14098,11867,POLICE OFFICER,1986-11-17,
,14232,15522,POLICE OFFICER,1998-11-17,2004-09-13
,14232,15522,POLICE OFFICER,2004-10-05,2013-02-07
2295,14232,10758,POLICE OFFICER,2013-02-07,
2371,14311,9118,POLICE OFFICER,,
2423,14360,18491,POLICE OFFICER,2016-03-02,
2482,14419,14470,POLICE OFFICER,2000-06-30,
,#U100020,9225,POLICE OFFICER,2001-01-11,2001-09-19
,#U100020,9225,POLICE OFFICER,2006-08-28,2010-12-19
3315,15252,17974,POLICE OFFICER,2014-04-17,
,#U100022,,POLICE OFFICER,,
,#U100023,,POLICE OFFICER,,
,#U100024,16862,POLICE OFFICER,2013-03-19,2015-02-10
,16658,12654,POLICE OFFICER,1996-07-16,2002-04-02
4721,16658,6125,POLICE OFFICER,2002-04-02,2016-09-30
5564,17501,7304,POLICE OFFICER,1994-04-08,
6000,17937,5444,POLICE OFFICER,2007-05-02,2016-06-01
,17937,2306,SERGEANT,2016-06-01,
,#U100028,19500,POLICE OFFICER,1996-08-21,2002-12-24
,#U100029,18545,POLICE OFFICER,1997-03-24,2002-02-05
,#U100030,9164,POLICE OFFICER,2016-12-28,
,#U100031,6165,POLICE OFFICER,1981-05-18,2004-06-16
,#U100031,,FIELD TRAINING OFFICER,,
,#U100032,18722,POLICE OFFICER,1997-10-20,2002-07-08
,#U100032,19120,POLICE OFFICER,2002-07-08,2002-07-30
,#U100032,11386,POLICE OFFICER,2002-07-30,2008-10-27
8378,20315,4695,POLICE OFFICER,2001-12-06,
,#U100034,16543,POLICE OFFICER,2004-09-24,2005-06-17
,#U100034,3770,POLICE OFFICER,2005-06-17,2007-12-03
,#U100035,10204,POLICE OFFICER,1999-09-28,2008-06-09
,#U100035,10251,POLICE OFFICER,2008-06-09,2017-05-17
9285,21222,16239,POLICE OFFICER,2013-04-03,
,#U100037,15384,POLICE OFFICER,1992-04-03,2001-11-05
,#U100037,19606,POLICE OFFICER,2001-11-05,2005-02-18
,#U100037,19606,POLICE OFFICER,2005-04-13,2014-04-08
,#U100037,19696,POLICE OFFICER,2005-04-13,2005-04-13
11307,23240,19094,POLICE OFFICER,1997-01-21,2019-08-16
,#U100039,17568,POLICE OFFICER,1985-08-17,2011-10-15
11337,23270,10443,POLICE OFFICER,1994-12-23,2001-06-07
,23270,10443,POLICE OFFICER,2003-11-20,2007-01-02
,23270,10443,POLICE OFFICER,2010-02-01,2015-11-09
,#U100041,8431,POLICE OFFICER,2017-02-22,
10671,22606,13612,POLICE OFFICER,2005-04-20,
,#U100043,,POLICE OFFICER,,
,11955,16224,POLICE OFFICER,1998-11-17,2003-05-12
14,11955,15206,POLICE OFFICER,2003-05-12,2017-02-24
,11955,20777,DETECTIVE,2017-02-24,
,#U100045,12969,POLICE OFFICER,2017-08-09,
5177,17114,13328,POLICE OFFICER,1999-03-19,2017-03-28
,17114,13328,POLICE OFFICER,2017-06-15,2017-10-30
,17114,13328,POLICE OFFICER,2018-11-13,
,#U100047,19439,POLICE OFFICER,1996-04-09,2004-03-17
,#U100048,,POLICE OFFICER,,
11132,23065,8758,POLICE OFFICER,2013-09-19,
7619,19556,14337,POLICE OFFICER,2015-07-10,
791,12730,5229,POLICE OFFICER,2007-02-07,
,#U100052,,POLICE OFFICER,,
,#U100053,,POLICE OFFICER,,
,#U100054,14867,POLICE OFFICER,1987-04-13,2014-05-15
4362,16299,15029,POLICE OFFICER,2013-06-05,2018-06-26
,16299,20159,DETECTIVE,2018-06-27,
,19889,5472,POLICE OFFICER,2000-06-16,2014-06-10
7942,19889,1674,SERGEANT,2014-06-10,
,#U100057,593,LIEUTENANT,1988-03-17,2005-06-30
,#U100057,,OTHER,,
,#U100058,17413,POLICE OFFICER,1985-07-01,2014-12-22
,#U100059,20072,DETECTIVE,1991-11-10,2008-07-15
,16452,14799,POLICE OFFICER,1998-11-17,2004-10-29
4515,16452,957,SERGEANT,2004-10-29,
,#U100061,11110,POLICE OFFICER,2016-08-31,
,21081,18258,POLICE OFFICER,1993-04-02,2013-02-07
9144,21081,20611,DETECTIVE,2013-02-07,
95,12036,17176,POLICE OFFICER,2000-11-14,2016-05-16
,12036,19518,POLICE OFFICER,2016-05-16,
2229,14166,15441,POLICE OFFICER,2001-02-20,2013-07-03
,14166,15441,POLICE OFFICER,2014-03-06,2017-04-14
,14166,15431,POLICE OFFICER,2013-07-03,2014-03-05
,14166,20747,DETECTIVE,2017-04-14,
,14166,20747,POLICE OFFICER,,
3085,15022,12699,POLICE OFFICER,2013-08-20,
,#U100066,,POLICE OFFICER,,
,#U100067,,SERGEANT,,
5864,17802,19429,POLICE OFFICER,1996-04-09,
,#U100069,,POLICE OFFICER,,
,#U100070,1184,SERGEANT,1991-02-15,2005-08-18
,#U100072,11213,POLICE OFFICER,1982-02-01,2012-02-15
,#U100072,11216,POLICE OFFICER,2010-09-21,2010-09-28
1533,13472,16084,POLICE OFFICER,2006-03-13,2010-01-26
,13472,16084,POLICE OFFICER,2010-09-03,
,13472,16084,FIELD TRAINING OFFICER,,
,#U100074,16579,POLICE OFFICER,1995-11-01,2014-08-15
2259,14196,3993,POLICE OFFICER,2002-03-12,
,#U100076,1682,SERGEANT,1999-06-16,2001-08-27
,#U100076,1682,SERGEANT,2003-07-01,2011-09-12
3623,15560,19306,POLICE OFFICER,2011-02-24,
8771,20708,13420,POLICE OFFICER,1997-12-15,
203,12145,13832,POLICE OFFICER,2007-04-11,
298,12239,7381,POLICE OFFICER,1994-11-04,2019-07-15
,#U100081,,POLICE OFFICER,,
684,12623,11805,POLICE OFFICER,2010-10-15,
,#U100083,18575,POLICE OFFICER,2017-04-26,
,#U100084,,POLICE OFFICER,,
988,12927,12015,POLICE OFFICER,2015-09-18,
,#U100087,,POLICE OFFICER,,
1289,13228,13450,POLICE OFFICER,1998-05-31,
,14170,16195,POLICE OFFICER,2006-07-05,2013-06-12
2233,14170,13047,POLICE OFFICER,2013-06-12,2017-04-14
,14170,20781,DETECTIVE,2017-04-14,
,14170,20781,POLICE OFFICER,,
2401,14338,9732,POLICE OFFICER,2006-03-13,
,#U100091,15847,POLICE OFFICER,1996-01-03,2001-07-20
,#U100091,15847,POLICE OFFICER,2001-07-27,2001-10-29
,#U100091,15847,POLICE OFFICER,2002-09-03,2002-10-01
,#U100092,,POLICE OFFICER,,
,#U100093,10034,POLICE OFFICER,2016-10-19,
3292,15229,7834,POLICE OFFICER,2013-05-08,2017-04-14
,15229,20421,DETECTIVE,2017-04-14,
,15229,20421,POLICE OFFICER,,
3469,15406,14405,POLICE OFFICER,2016-03-02,
,16449,13283,POLICE OFFICER,1992-03-16,2012-10-30
4512,16449,1573,SERGEANT,2012-10-30,
4532,16469,13348,POLICE OFFICER,2013-05-08,
,16469,13348,FIELD TRAINING OFFICER,,
5056,16993,18517,POLICE OFFICER,1999-02-18,
,#U100099,7099,POLICE OFFICER,1972-11-20,2004-03-31
,17307,15867,POLICE OFFICER,1997-08-22,2003-07-01
5370,17307,20558,DETECTIVE,2003-07-01,
,#U100101,,POLICE OFFICER,,
5882,17819,17150,POLICE OFFICER,2006-08-30,2017-04-14
,17819,20790,DETECTIVE,2017-04-14,
,17819,20790,POLICE OFFICER,,
6605,18542,9439,POLICE OFFICER,,
,#U100104,15466,POLICE OFFICER,2001-02-20,2001-03-30
,#U100105,4127,POLICE OFFICER,2008-09-29,
7775,19776,17376,POLICE OFFICER,1999-02-18,
,#U100107,3806,POLICE OFFICER,1952-09-29,
8220,20157,5446,POLICE OFFICER,2008-02-28,2019-07-10
,20157,20882,DETECTIVE,2019-07-10,
,#U100109,19122,POLICE OFFICER,1997-05-12,2002-09-04
8423,20360,19441,POLICE OFFICER,1996-04-09,
