id,url,title,link_type,author,officer_ids
,https://cpdp.co/officer/2863/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100001
,https://cpdp.co/officer/6100/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100002
,https://cpdp.co/officer/14560/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100003
,https://cpdp.co/officer/15445/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100004
,https://cpdp.co/officer/18373/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100005
,https://cpdp.co/officer/15521/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100006
,https://cpdp.co/officer/56/,Officer's profile on CPDP,Link,Citizens Police Data Project,11958
,https://cpdp.co/officer/411/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100008
,https://cpdp.co/officer/834/,Officer's profile on CPDP,Link,Citizens Police Data Project,12301
,https://cpdp.co/officer/3412/,Officer's profile on CPDP,Link,Citizens Police Data Project,13227
,https://cpdp.co/officer/3978/,Officer's profile on CPDP,Link,Citizens Police Data Project,13436
,https://cpdp.co/officer/4423/,Officer's profile on CPDP,Link,Citizens Police Data Project,13642
,https://cpdp.co/officer/4443/,Officer's profile on CPDP,Link,Citizens Police Data Project,13649
,https://cpdp.co/officer/4879/,Officer's profile on CPDP,Link,Citizens Police Data Project,13844
,https://cpdp.co/officer/5520/,Officer's profile on CPDP,Link,Citizens Police Data Project,14098
,https://cpdp.co/officer/5913/,Officer's profile on CPDP,Link,Citizens Police Data Project,14232
,https://cpdp.co/officer/6131/,Officer's profile on CPDP,Link,Citizens Police Data Project,14311
,https://cpdp.co/officer/6258/,Officer's profile on CPDP,Link,Citizens Police Data Project,14360
,https://cpdp.co/officer/6388/,Officer's profile on CPDP,Link,Citizens Police Data Project,14419
,https://cpdp.co/officer/6618/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100020
,https://cpdp.co/officer/8703/,Officer's profile on CPDP,Link,Citizens Police Data Project,15252
,https://cpdp.co/officer/9932/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100022
,https://cpdp.co/officer/11577/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100023
,https://cpdp.co/officer/12116/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100024
,https://cpdp.co/officer/12484/,Officer's profile on CPDP,Link,Citizens Police Data Project,16658
,https://cpdp.co/officer/14763/,Officer's profile on CPDP,Link,Citizens Police Data Project,17501
,https://cpdp.co/officer/16115/,Officer's profile on CPDP,Link,Citizens Police Data Project,17937
,https://cpdp.co/officer/16458/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100028
,https://cpdp.co/officer/17836/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100029
,https://cpdp.co/officer/18544/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100030
,https://cpdp.co/officer/21849/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100031
,https://cpdp.co/officer/22172/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100032
,https://cpdp.co/officer/22410/,Officer's profile on CPDP,Link,Citizens Police Data Project,20315
,https://cpdp.co/officer/22834/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100034
,https://cpdp.co/officer/23003/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100035
,https://cpdp.co/officer/24615/,Officer's profile on CPDP,Link,Citizens Police Data Project,21222
,https://cpdp.co/officer/24853/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100037
,https://cpdp.co/officer/30011/,Officer's profile on CPDP,Link,Citizens Police Data Project,23240
,https://cpdp.co/officer/30093/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100039
,https://cpdp.co/officer/30109/,Officer's profile on CPDP,Link,Citizens Police Data Project,23270
,https://cpdp.co/officer/995/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100041
,https://cpdp.co/officer/28511/,Officer's profile on CPDP,Link,Citizens Police Data Project,22606
,https://cpdp.co/officer/1006/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100043
,https://cpdp.co/officer/38/,Officer's profile on CPDP,Link,Citizens Police Data Project,11955
,https://cpdp.co/officer/347/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100045
,https://cpdp.co/officer/13741/,Officer's profile on CPDP,Link,Citizens Police Data Project,17114
,https://cpdp.co/officer/19857/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100047
,https://cpdp.co/officer/25512/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100048
,https://cpdp.co/officer/29563/,Officer's profile on CPDP,Link,Citizens Police Data Project,23065
,https://cpdp.co/officer/20462/,Officer's profile on CPDP,Link,Citizens Police Data Project,19556
,https://cpdp.co/officer/1945/,Officer's profile on CPDP,Link,Citizens Police Data Project,12730
,https://cpdp.co/officer/796/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100052
,https://cpdp.co/officer/30961/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100053
,https://cpdp.co/officer/9432/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100054
