id,officer_id,badge_number,job_title,start_date,resign_date
,#U100005,,POLICE OFFICER,,
,#U100006,15869,POLICE OFFICER,1987-04-27,2004-03-15
,#U100020,9225,POLICE OFFICER,2001-01-11,2001-09-19
,#U100020,9225,POLICE OFFICER,2006-08-28,2010-12-19
,#U100022,,POLICE OFFICER,,
,#U100023,,POLICE OFFICER,,
,#U100024,16862,POLICE OFFICER,2013-03-19,2015-02-10
,#U100028,19500,POLICE OFFICER,1996-08-21,2002-12-24
,#U100029,18545,POLICE OFFICER,1997-03-24,2002-02-05
,#U100031,6165,POLICE OFFICER,1981-05-18,2004-06-16
,#U100031,,FIELD TRAINING OFFICER,,
,#U100032,18722,POLICE OFFICER,1997-10-20,2002-07-08
,#U100032,19120,POLICE OFFICER,2002-07-08,2002-07-30
,#U100032,11386,POLICE OFFICER,2002-07-30,2008-10-27
,#U100034,16543,POLICE OFFICER,2004-09-24,2005-06-17
,#U100034,3770,POLICE OFFICER,2005-06-17,2007-12-03
,#U100037,15384,POLICE OFFICER,1992-04-03,2001-11-05
,#U100037,19606,POLICE OFFICER,2001-11-05,2005-02-18
,#U100037,19606,POLICE OFFICER,2005-04-13,2014-04-08
,#U100037,19696,POLICE OFFICER,2005-04-13,2005-04-13
,#U100039,17568,POLICE OFFICER,1985-08-17,2011-10-15
,#U100043,,POLICE OFFICER,,
,#U100047,19439,POLICE OFFICER,1996-04-09,2004-03-17
,#U100048,,POLICE OFFICER,,
,#U100052,,POLICE OFFICER,,
,#U100053,,POLICE OFFICER,,
,#U100054,14867,POLICE OFFICER,1987-04-13,2014-05-15
,#U100057,593,LIEUTENANT,1988-03-17,2005-06-30
,#U100057,,OTHER,,
,#U100058,17413,POLICE OFFICER,1985-07-01,2014-12-22
,#U100059,20072,DETECTIVE,1991-11-10,2008-07-15
,#U100066,,POLICE OFFICER,,
,#U100067,,SERGEANT,,
,#U100069,,POLICE OFFICER,,
,#U100070,1184,SERGEANT,1991-02-15,2005-08-18
,#U100072,11213,POLICE OFFICER,1982-02-01,2012-02-15
,#U100072,11216,POLICE OFFICER,2010-09-21,2010-09-28
,#U100074,16579,POLICE OFFICER,1995-11-01,2014-08-15
,#U100076,1682,SERGEANT,1999-06-16,2001-08-27
,#U100076,1682,SERGEANT,2003-07-01,2011-09-12
,#U100081,,POLICE OFFICER,,
,#U100084,,POLICE OFFICER,,
,#U100087,,POLICE OFFICER,,
,#U100091,15847,POLICE OFFICER,1996-01-03,2001-07-20
,#U100091,15847,POLICE OFFICER,2001-07-27,2001-10-29
,#U100091,15847,POLICE OFFICER,2002-09-03,2002-10-01
,#U100092,,POLICE OFFICER,,
,#U100099,7099,POLICE OFFICER,1972-11-20,2004-03-31
,#U100101,,POLICE OFFICER,,
,#U100104,15466,POLICE OFFICER,2001-02-20,2001-03-30
,#U100107,3806,POLICE OFFICER,1952-09-29,
,#U100109,19122,POLICE OFFICER,1997-05-12,2002-09-04
,#U100128,,DETECTIVE,,
,#U100129,,DETECTIVE,,
,#U100138,,POLICE OFFICER,,
,#U100142,21186,DETECTIVE,1996-12-13,2008-06-02
,#U100143,,POLICE OFFICER,,
,#U100144,,SERGEANT,,
,#U100145,,SERGEANT,,
,#U100146,,POLICE OFFICER,,
,#U100147,,POLICE OFFICER,,
,#U100149,,POLICE OFFICER,,
,#U100150,1950,SERGEANT,1998-08-06,2014-03-31
,#U100151,2520,SERGEANT,1999-09-21,2000-04-18
,#U100154,16833,POLICE OFFICER,2014-10-01,2015-12-08
,#U100157,11301,POLICE OFFICER,1990-05-21,2001-02-13
,#U100159,8526,POLICE OFFICER,1993-01-14,2013-05-20
,#U100162,16077,POLICE OFFICER,2003-07-10,2011-04-06
,#U100167,,POLICE OFFICER,,
,#U100171,,POLICE OFFICER,,
,#U100175,13166,POLICE OFFICER,1998-08-28,2001-07-14
,#U100175,12379,POLICE OFFICER,2001-07-14,2003-01-28
,#U100175,12379,POLICE OFFICER,2003-01-29,2003-05-14
,#U100180,2609,SERGEANT,1986-12-22,2000-02-15
,#U100180,3609,POLICE OFFICER,2000-02-15,2013-01-15
,#U100181,16621,POLICE OFFICER,1991-07-18,2007-03-19
,#U100181,16831,POLICE OFFICER,2007-03-19,2012-11-15
,#U100182,10876,POLICE OFFICER,2001-03-21,2015-11-13
,#U100184,17683,POLICE OFFICER,1995-01-18,2013-11-08
,#U100185,729,LIEUTENANT,1999-12-23,2014-11-14
,#U100185,729,COMMANDER,,
,#U100189,,POLICE OFFICER,,
,#U100190,,POLICE OFFICER,,
,#U100192,11884,POLICE OFFICER,2000-04-06,2000-08-07
,#U100193,,POLICE OFFICER,,
,#U100216,,DETECTIVE,,
,#U100217,18889,POLICE OFFICER,1996-01-22,2004-04-16
,#U100218,15785,POLICE OFFICER,1997-08-22,2007-06-21
,#U100219,16486,POLICE OFFICER,1976-04-26,2011-01-14
,#U100220,15586,POLICE OFFICER,2005-05-24,2006-05-19
,#U100223,20630,DETECTIVE,1998-12-04,2014-04-15
,#U100224,,FIELD TRAINING OFFICER,,
,#U100226,,DETECTIVE,,
,#U100227,,SERGEANT,,
,#U100228,,POLICE OFFICER,,
,#U100229,6012,POLICE OFFICER,1986-07-14,2015-12-30
,#U100230,,POLICE OFFICER,,
,#U100231,,POLICE OFFICER,,
,#U100232,3325,POLICE OFFICER,1998-07-14,2013-09-13
,#U100233,,DETECTIVE,,
,#U100234,1393,SERGEANT,1982-06-07,2002-01-30
,#U100236,,POLICE OFFICER,,
,#U100237,14198,POLICE OFFICER,2003-03-18,2003-03-18
,#U100238,17791,POLICE OFFICER,1998-01-17,
,#U100239,20081,DETECTIVE,1991-11-10,2002-04-15
,#U100240,10972,POLICE OFFICER,1995-01-18,2003-11-10
,#U100241,1579,SERGEANT,1999-06-16,2003-02-18
,#U100242,,POLICE OFFICER,,
,#U100243,2532,SERGEANT,1999-06-16,2010-03-02
,#U100244,,POLICE OFFICER,,
,#U100245,,SERGEANT,,
,#U100246,361,LIEUTENANT,1998-11-05,2005-07-28
,#U100246,90,CAPTAIN,2005-07-29,2008-05-16
,#U100247,19767,POLICE OFFICER,1997-01-21,
,#U100248,10273,POLICE OFFICER,1968-07-22,2006-11-15
,#U100252,,POLICE OFFICER,,
,#U100253,,POLICE OFFICER,,
,#U100254,,POLICE OFFICER,,
,#U100255,,POLICE OFFICER,,
,#U100256,40298,POLICE OFFICER,1999-01-28,2005-06-29
,#U100256,20657,DETECTIVE,2005-06-29,2012-12-27
,#U100259,13717,POLICE OFFICER,1994-01-19,2011-02-15
,#U100260,,SERGEANT,,
,#U100261,6788,POLICE OFFICER,1978-01-01,2005-04-15
,#U100262,,POLICE OFFICER,,
,#U100263,16885,POLICE OFFICER,1988-06-16,2001-07-09
,#U100263,3201,POLICE OFFICER,2001-07-09,2013-03-05
,#U100266,,POLICE OFFICER,,
,#U100267,20043,DETECTIVE,1996-12-13,2014-10-15
,#U100269,13205,POLICE OFFICER,1967-10-23,2000-04-14
,#U100272,2102,SERGEANT,1986-12-23,2004-05-06
,#U100273,16831,POLICE OFFICER,1976-10-18,2006-08-15
,#U100274,8295,POLICE OFFICER,1998-03-03,2006-07-03
,#U100275,1145,SERGEANT,1988-12-01,2000-05-15
,#U100277,20432,DETECTIVE,1991-11-10,2000-03-15
,#U100278,18484,POLICE OFFICER,1995-02-03,2001-11-06
,#U100278,18484,POLICE OFFICER,2001-11-08,2008-03-01
,#U100278,18435,POLICE OFFICER,2001-11-06,2001-11-08
,#U100279,7008,POLICE OFFICER,1981-06-23,2009-11-16
,#U100282,,SERGEANT,,
,#U100283,1203,SERGEANT,1999-06-16,2000-06-08
,#U100284,,POLICE OFFICER,,
,#U100285,2894,POLICE OFFICER,1998-07-15,2001-05-30
,#U100286,13961,POLICE OFFICER,1987-12-07,2013-01-15
,#U100287,,POLICE OFFICER,,
,#U100288,40213,POLICE OFFICER,1997-04-10,2003-01-15
,#U100288,,DETECTIVE,,
,#U100289,,POLICE OFFICER,,
,#U100290,,POLICE OFFICER,,
,#U100291,,POLICE OFFICER,,
,#U100293,,POLICE OFFICER,,
,#U100294,,SERGEANT,,
,#U100295,,POLICE OFFICER,,
,#U100296,,POLICE OFFICER,,
,#U100298,,FIELD TRAINING OFFICER,,
,#U100299,644,LIEUTENANT,1999-09-08,2001-01-31
,#U100299,53,CAPTAIN,2001-01-31,2001-09-14
,#U100301,,POLICE OFFICER,,
,#U100302,1378,SERGEANT,1986-12-23,2001-11-15
,#U100303,,POLICE OFFICER,,
,#U100305,,POLICE OFFICER,,
,#U100306,20480,DETECTIVE,1992-03-13,2003-07-03
,#U100307,8815,POLICE OFFICER,1986-11-05,2008-04-21
,#U100307,8815,FIELD TRAINING OFFICER,,
,#U100308,,POLICE OFFICER,,
