id,officer_id,badge_number,job_title,start_date,resign_date
17,11958,7792,POLICE OFFICER,2010-06-14,2018-11-02
,11958,20009,DETECTIVE,2018-11-02,
,#U100008,9516,POLICE OFFICER,2016-12-28,
360,12301,13768,POLICE OFFICER,2006-04-19,
1288,13227,4534,POLICE OFFICER,2013-11-12,
,13436,13693,POLICE OFFICER,2005-05-24,2016-02-01
1497,13436,2349,SERGEANT,2016-02-03,2017-02-24
,13436,1140,SERGEANT,2017-02-24,
1703,13642,8742,POLICE OFFICER,2007-11-14,
,13642,8742,FIELD TRAINING OFFICER,,
,13649,16451,POLICE OFFICER,1998-04-01,2000-08-31
1710,13649,21313,DETECTIVE,2000-08-31,2016-06-01
,13649,1245,SERGEANT,2016-06-01,
,13844,19133,POLICE OFFICER,1997-05-12,2007-03-30
1905,13844,20475,DETECTIVE,2007-03-30,2017-12-15
,13844,1041,SERGEANT,2017-12-15,
,13844,1041,DETECTIVE,,
2161,14098,11867,POLICE OFFICER,1986-11-17,
,14232,15522,POLICE OFFICER,1998-11-17,2004-09-13
,14232,15522,POLICE OFFICER,2004-10-05,2013-02-07
2295,14232,10758,POLICE OFFICER,2013-02-07,
2371,14311,9118,POLICE OFFICER,,
2423,14360,18491,POLICE OFFICER,2016-03-02,
2482,14419,14470,POLICE OFFICER,2000-06-30,
3315,15252,17974,POLICE OFFICER,2014-04-17,
,16658,12654,POLICE OFFICER,1996-07-16,2002-04-02
4721,16658,6125,POLICE OFFICER,2002-04-02,2016-09-30
5564,17501,7304,POLICE OFFICER,1994-04-08,
6000,17937,5444,POLICE OFFICER,2007-05-02,2016-06-01
,17937,2306,SERGEANT,2016-06-01,
,#U100030,9164,POLICE OFFICER,2016-12-28,
8378,20315,4695,POLICE OFFICER,2001-12-06,
,#U100035,10204,POLICE OFFICER,1999-09-28,2008-06-09
,#U100035,10251,POLICE OFFICER,2008-06-09,2017-05-17
9285,21222,16239,POLICE OFFICER,2013-04-03,
11307,23240,19094,POLICE OFFICER,1997-01-21,2019-08-16
11337,23270,10443,POLICE OFFICER,1994-12-23,2001-06-07
,23270,10443,POLICE OFFICER,2003-11-20,2007-01-02
,23270,10443,POLICE OFFICER,2010-02-01,2015-11-09
,#U100041,8431,POLICE OFFICER,2017-02-22,
10671,22606,13612,POLICE OFFICER,2005-04-20,
,11955,16224,POLICE OFFICER,1998-11-17,2003-05-12
14,11955,15206,POLICE OFFICER,2003-05-12,2017-02-24
,11955,20777,DETECTIVE,2017-02-24,
,#U100045,12969,POLICE OFFICER,2017-08-09,
5177,17114,13328,POLICE OFFICER,1999-03-19,2017-03-28
,17114,13328,POLICE OFFICER,2017-06-15,2017-10-30
,17114,13328,POLICE OFFICER,2018-11-13,
11132,23065,8758,POLICE OFFICER,2013-09-19,
7619,19556,14337,POLICE OFFICER,2015-07-10,
791,12730,5229,POLICE OFFICER,2007-02-07,
4362,16299,15029,POLICE OFFICER,2013-06-05,2018-06-26
,16299,20159,DETECTIVE,2018-06-27,
,19889,5472,POLICE OFFICER,2000-06-16,2014-06-10
7942,19889,1674,SERGEANT,2014-06-10,
,16452,14799,POLICE OFFICER,1998-11-17,2004-10-29
4515,16452,957,SERGEANT,2004-10-29,
,#U100061,11110,POLICE OFFICER,2016-08-31,
,21081,18258,POLICE OFFICER,1993-04-02,2013-02-07
9144,21081,20611,DETECTIVE,2013-02-07,
95,12036,17176,POLICE OFFICER,2000-11-14,2016-05-16
,12036,19518,POLICE OFFICER,2016-05-16,
2229,14166,15441,POLICE OFFICER,2001-02-20,2013-07-03
,14166,15441,POLICE OFFICER,2014-03-06,2017-04-14
,14166,15431,POLICE OFFICER,2013-07-03,2014-03-05
,14166,20747,DETECTIVE,2017-04-14,
,14166,20747,POLICE OFFICER,,
3085,15022,12699,POLICE OFFICER,2013-08-20,
5864,17802,19429,POLICE OFFICER,1996-04-09,
1533,13472,16084,POLICE OFFICER,2006-03-13,2010-01-26
,13472,16084,POLICE OFFICER,2010-09-03,
,13472,16084,FIELD TRAINING OFFICER,,
2259,14196,3993,POLICE OFFICER,2002-03-12,
3623,15560,19306,POLICE OFFICER,2011-02-24,
8771,20708,13420,POLICE OFFICER,1997-12-15,
203,12145,13832,POLICE OFFICER,2007-04-11,
298,12239,7381,POLICE OFFICER,1994-11-04,2019-07-15
684,12623,11805,POLICE OFFICER,2010-10-15,
,#U100083,18575,POLICE OFFICER,2017-04-26,
988,12927,12015,POLICE OFFICER,2015-09-18,
1289,13228,13450,POLICE OFFICER,1998-05-31,
,14170,16195,POLICE OFFICER,2006-07-05,2013-06-12
2233,14170,13047,POLICE OFFICER,2013-06-12,2017-04-14
,14170,20781,DETECTIVE,2017-04-14,
,14170,20781,POLICE OFFICER,,
2401,14338,9732,POLICE OFFICER,2006-03-13,
,#U100093,10034,POLICE OFFICER,2016-10-19,
3292,15229,7834,POLICE OFFICER,2013-05-08,2017-04-14
,15229,20421,DETECTIVE,2017-04-14,
,15229,20421,POLICE OFFICER,,
3469,15406,14405,POLICE OFFICER,2016-03-02,
,16449,13283,POLICE OFFICER,1992-03-16,2012-10-30
4512,16449,1573,SERGEANT,2012-10-30,
4532,16469,13348,POLICE OFFICER,2013-05-08,
,16469,13348,FIELD TRAINING OFFICER,,
5056,16993,18517,POLICE OFFICER,1999-02-18,
,17307,15867,POLICE OFFICER,1997-08-22,2003-07-01
5370,17307,20558,DETECTIVE,2003-07-01,
5882,17819,17150,POLICE OFFICER,2006-08-30,2017-04-14
,17819,20790,DETECTIVE,2017-04-14,
,17819,20790,POLICE OFFICER,,
6605,18542,9439,POLICE OFFICER,,
,#U100105,4127,POLICE OFFICER,2008-09-29,
7775,19776,17376,POLICE OFFICER,1999-02-18,
8220,20157,5446,POLICE OFFICER,2008-02-28,2019-07-10
,20157,20882,DETECTIVE,2019-07-10,
8423,20360,19441,POLICE OFFICER,1996-04-09,
,#U100111,,POLICE OFFICER,,
8660,20597,14076,POLICE OFFICER,2013-05-08,
9318,21255,7377,POLICE OFFICER,2007-05-02,
9749,21686,19163,POLICE OFFICER,2008-09-29,2017-04-14
,21686,21151,DETECTIVE,2017-04-14,
,21686,21151,POLICE OFFICER,,
9929,21866,18677,POLICE OFFICER,2014-05-22,2018-11-05
,21866,20832,DETECTIVE,2018-11-05,
,22165,19074,POLICE OFFICER,2003-11-18,2007-01-02
10230,22165,6218,POLICE OFFICER,2007-01-02,
10296,22232,18655,POLICE OFFICER,2006-07-05,
10489,22424,4057,POLICE OFFICER,2008-02-28,
11664,23597,17494,POLICE OFFICER,2016-06-17,2017-07-18
11702,23635,3023,POLICE OFFICER,2004-03-12,
11899,23832,2381,SERGEANT,1998-08-06,2002-10-24
,23832,2381,SERGEANT,2002-11-12,2018-05-31
7222,19159,14677,POLICE OFFICER,2015-07-10,
,#U100124,13838,POLICE OFFICER,2016-08-31,
,#U100125,14798,POLICE OFFICER,2017-08-09,
8739,20676,18920,POLICE OFFICER,2014-10-01,
10721,22656,10986,POLICE OFFICER,2007-03-13,
,#U100130,19092,POLICE OFFICER,2017-04-26,
882,12821,14838,POLICE OFFICER,2013-09-19,
5578,17515,18392,POLICE OFFICER,2006-11-20,2012-11-01
,13875,15708,POLICE OFFICER,1987-12-07,2005-12-01
1936,13875,10660,POLICE OFFICER,2005-12-01,
3210,15147,19603,POLICE OFFICER,2003-08-14,2017-03-14
,15147,1022,SERGEANT,2017-03-14,
,16839,4032,POLICE OFFICER,2002-04-30,2016-02-01
4902,16839,1698,SERGEANT,2016-02-01,
,#U100136,18236,POLICE OFFICER,2017-04-26,
,16131,8441,POLICE OFFICER,1992-04-03,2001-05-31
,16131,1473,SERGEANT,2001-05-31,2015-05-01
4194,16131,714,LIEUTENANT,2015-05-01,
932,12871,16767,POLICE OFFICER,2014-10-01,
,15561,19738,POLICE OFFICER,1996-10-21,2003-04-22
,15561,2812,POLICE OFFICER,2003-04-22,2004-12-03
3624,15561,14438,POLICE OFFICER,2004-12-03,2017-05-25
,15561,2813,POLICE OFFICER,2017-05-25,
,18152,15191,POLICE OFFICER,1999-12-21,2011-01-10
6215,18152,12139,POLICE OFFICER,2011-01-14,
3625,15562,7282,POLICE OFFICER,2007-08-15,2017-04-14
,15562,20582,DETECTIVE,2017-04-14,2019-11-22
,15562,2182,SERGEANT,2019-11-22,
,15562,20582,POLICE OFFICER,,
2114,14051,10376,POLICE OFFICER,1999-05-07,
2260,14197,14195,POLICE OFFICER,2015-07-10,
,#U100155,17350,POLICE OFFICER,2017-08-09,
3340,15277,17274,POLICE OFFICER,2014-04-17,2018-11-05
,15277,20337,DETECTIVE,2018-11-05,
3626,15563,20517,DETECTIVE,1998-12-04,
5817,17755,12297,POLICE OFFICER,2013-02-14,2019-07-10
,17755,21057,DETECTIVE,2019-07-10,
6158,18095,17900,POLICE OFFICER,2016-04-27,
7553,19490,6668,POLICE OFFICER,1999-07-30,2018-11-05
,19490,20678,DETECTIVE,2018-11-05,
,20232,15624,POLICE OFFICER,2006-09-25,2015-05-15
8295,20232,2070,SERGEANT,2015-05-15,
8516,20453,15677,POLICE OFFICER,2000-02-04,2003-10-19
,20453,15677,POLICE OFFICER,2004-05-26,2016-12-09
,20453,18395,POLICE OFFICER,2016-12-09,
9324,21261,19462,POLICE OFFICER,2013-05-08,2019-06-28
10040,21977,19030,POLICE OFFICER,2015-03-13,
10583,22518,16317,POLICE OFFICER,2013-10-09,2019-05-28
10966,22899,15777,POLICE OFFICER,2000-06-30,
11186,23119,17269,POLICE OFFICER,2005-04-20,2019-02-21
,23119,1769,SERGEANT,2019-02-21,
11903,23836,11439,POLICE OFFICER,2007-03-13,2017-04-14
,23836,21138,DETECTIVE,2017-04-14,
,23836,21138,POLICE OFFICER,,
4208,16145,6241,POLICE OFFICER,2002-07-23,2018-11-05
,16145,21352,DETECTIVE,2018-11-05,
,#U100176,16374,POLICE OFFICER,2017-04-26,
6935,18872,8011,POLICE OFFICER,2016-04-27,
11943,23876,15091,POLICE OFFICER,2015-04-24,
3459,15396,9188,POLICE OFFICER,2007-03-13,
9801,21738,10691,POLICE OFFICER,1998-02-13,
11015,22952,19417,POLICE OFFICER,2005-05-24,
,#U100187,9576,POLICE OFFICER,2016-12-28,
1781,13720,3338,POLICE OFFICER,2004-06-18,
1117,13056,14786,POLICE OFFICER,2015-07-10,
,#U100194,18314,POLICE OFFICER,2017-04-26,
10755,22690,15507,POLICE OFFICER,2003-04-03,
11909,23842,11383,POLICE OFFICER,2013-08-20,
1663,13602,14856,POLICE OFFICER,1992-04-27,
,13602,14856,FIELD TRAINING OFFICER,,
9145,21082,13914,POLICE OFFICER,,
,21431,17984,POLICE OFFICER,2002-10-25,2008-07-01
9494,21431,1484,SERGEANT,2008-07-01,2012-07-24
,21431,1484,SERGEANT,2013-06-27,2019-01-17
,21431,481,LIEUTENANT,2019-01-17,
10798,22732,13901,POLICE OFFICER,2005-05-24,
6606,18543,11072,POLICE OFFICER,2013-06-05,
6936,18873,9545,POLICE OFFICER,2006-02-22,
8296,20233,18432,POLICE OFFICER,2013-09-19,
,#U100204,,POLICE OFFICER,,
,19717,12166,POLICE OFFICER,1998-10-02,2013-02-07
7836,19717,20497,DETECTIVE,2013-02-07,2016-12-28
4375,16312,10172,POLICE OFFICER,2004-04-02,2004-04-05
,16312,10172,POLICE OFFICER,2004-04-20,2013-07-25
,16312,10172,POLICE OFFICER,2014-05-14,
5586,17523,7709,POLICE OFFICER,2005-04-20,
10453,22388,8728,POLICE OFFICER,1999-07-12,
,#U100209,11975,POLICE OFFICER,2017-09-13,2018-02-26
8960,20897,8850,POLICE OFFICER,2001-03-21,
5101,17038,11285,POLICE OFFICER,2003-11-18,
386,12327,4697,POLICE OFFICER,2013-05-08,
6867,18837,17693,POLICE OFFICER,2015-03-13,
10938,22871,7143,POLICE OFFICER,2002-09-19,2019-02-04
,22871,7143,POLICE OFFICER,2019-05-10,2019-07-11
,22871,4235,POLICE OFFICER,2019-02-04,2019-05-10
,22871,21473,DETECTIVE,2019-07-11,
1134,13073,7244,POLICE OFFICER,,
9603,21540,5335,POLICE OFFICER,2004-09-24,
330,12271,4870,POLICE OFFICER,2013-05-08,
,#U100225,17563,POLICE OFFICER,2017-06-06,2017-09-19
5102,17039,8985,POLICE OFFICER,1995-06-12,
5294,17231,6560,POLICE OFFICER,1994-04-08,2017-04-14
5374,17311,13621,POLICE OFFICER,2005-04-20,
,17704,18449,POLICE OFFICER,1993-09-03,2000-08-31
,17704,21308,DETECTIVE,2000-08-31,2001-05-31
,17704,2353,SERGEANT,2001-05-31,2008-12-25
5767,17704,2614,SERGEANT,2008-12-25,
,17815,18587,POLICE OFFICER,1995-11-08,2003-12-01
5878,17815,1434,SERGEANT,2003-12-01,
7039,18976,19870,POLICE OFFICER,1996-10-21,
9082,21019,18868,POLICE OFFICER,1995-09-20,2002-03-15
,21019,18868,POLICE OFFICER,2002-05-23,
,21019,15876,POLICE OFFICER,2002-03-15,2002-05-23
9226,21163,3836,POLICE OFFICER,2001-01-11,2017-03-14
,21163,2252,SERGEANT,2017-03-14,
11442,23375,10310,POLICE OFFICER,2003-07-10,
11780,23713,12944,POLICE OFFICER,1991-04-03,2017-01-08
11785,23718,20536,DETECTIVE,1995-02-17,
1770,13709,15325,POLICE OFFICER,1996-01-22,
2724,14661,9225,POLICE OFFICER,2013-11-12,
3450,15387,7231,POLICE OFFICER,2001-01-11,
3622,15559,19745,POLICE OFFICER,1997-04-22,2017-01-17
4937,16874,14521,POLICE OFFICER,2013-04-03,
5178,17115,19852,POLICE OFFICER,1997-02-15,
6937,18874,4552,POLICE OFFICER,1987-12-07,2005-11-16
,18874,4552,POLICE OFFICER,2006-08-02,2008-08-11
,18874,4552,POLICE OFFICER,2008-10-01,
,18874,13537,POLICE OFFICER,2008-07-29,2008-10-01
,19931,6511,POLICE OFFICER,1999-07-30,2007-03-30
,19931,20585,DETECTIVE,2007-03-30,2007-08-30
7985,19931,2204,SERGEANT,2007-08-30,2016-03-01
,19931,224,LIEUTENANT,2016-03-01,
,20234,15840,POLICE OFFICER,1993-01-14,2007-03-30
,20234,20733,DETECTIVE,2007-03-30,2012-08-31
8297,20234,842,SERGEANT,2012-08-31,
,#U100344,8977,POLICE OFFICER,1997-06-04,2003-01-24
,#U100344,18884,POLICE OFFICER,2003-01-24,2006-12-19
,#U100344,18203,POLICE OFFICER,2006-12-19,2009-01-13
,#U100344,11013,POLICE OFFICER,2009-01-13,2016-03-16
,#U100344,11013,POLICE OFFICER,2016-06-27,
,#U100344,19210,POLICE OFFICER,2016-03-16,2016-06-27
8795,20732,5339,POLICE OFFICER,,
9714,21651,19322,POLICE OFFICER,2004-06-18,
10551,22486,11427,POLICE OFFICER,1998-07-02,
10759,22694,13067,POLICE OFFICER,2013-02-14,
,#U100366,13635,POLICE OFFICER,1987-12-07,2011-04-12
,23546,6089,POLICE OFFICER,1990-11-16,2000-12-11
11614,23546,7912,POLICE OFFICER,2000-12-11,2017-02-15
118,12060,17915,POLICE OFFICER,1993-03-29,2018-03-15
2174,14111,18769,POLICE OFFICER,2013-12-18,2016-03-28
3696,15633,18886,POLICE OFFICER,1996-01-22,
3930,15869,10722,POLICE OFFICER,1991-07-18,
,#U100377,16047,POLICE OFFICER,2017-08-04,
8012,19950,5050,POLICE OFFICER,2003-07-10,
8906,20843,12815,POLICE OFFICER,1999-04-15,2001-10-11
,20843,12815,POLICE OFFICER,2002-08-05,
9146,21083,19320,POLICE OFFICER,2015-05-08,
9478,21415,11104,POLICE OFFICER,2005-06-10,
11889,23822,10661,POLICE OFFICER,2006-04-19,
,#U100388,19861,POLICE OFFICER,2003-07-10,2007-10-25
,#U100388,13838,POLICE OFFICER,2007-10-25,2012-10-01
1369,13308,4849,POLICE OFFICER,2000-06-16,
6971,18908,7594,POLICE OFFICER,2013-11-12,
,17335,18981,POLICE OFFICER,2014-05-22,2015-05-20
5398,17335,15701,POLICE OFFICER,2015-05-20,2018-11-05
,17335,20633,DETECTIVE,2018-11-05,
2681,14623,12626,POLICE OFFICER,2002-07-23,
6366,18303,11696,POLICE OFFICER,2006-03-13,2017-02-24
,18303,20098,DETECTIVE,2017-02-24,
18,11959,15760,POLICE OFFICER,2006-02-22,
187,12129,21178,DETECTIVE,1996-12-13,2016-07-08
,#U100399,19197,POLICE OFFICER,2017-08-09,2018-03-16
506,12447,11650,POLICE OFFICER,2015-12-23,
1343,13282,4855,POLICE OFFICER,2007-02-07,2018-06-15
,13282,1286,SERGEANT,2018-06-15,
,13656,7197,POLICE OFFICER,1991-05-02,2007-03-30
1717,13656,20391,DETECTIVE,2007-03-30,
1809,13748,14169,POLICE OFFICER,2006-01-24,
2533,14497,18959,POLICE OFFICER,1995-07-18,2010-07-29
,14497,18959,POLICE OFFICER,2011-04-14,2012-07-17
,14497,18959,POLICE OFFICER,2013-07-17,
3063,15000,14348,POLICE OFFICER,2013-02-14,
3579,15516,15130,POLICE OFFICER,2000-03-23,
,16096,16443,POLICE OFFICER,2008-01-30,2008-01-30
4159,16096,16463,POLICE OFFICER,2008-01-30,
4533,16470,9742,POLICE OFFICER,2006-09-25,
5807,17745,9916,POLICE OFFICER,,
,18936,4196,POLICE OFFICER,2007-12-11,2012-03-31
,18936,17430,POLICE OFFICER,2009-04-12,2009-04-14
,18936,18516,POLICE OFFICER,2012-04-03,2013-10-21
6999,18936,3777,POLICE OFFICER,2013-10-22,2015-09-23
,18936,3777,POLICE OFFICER,2016-02-03,
,19075,13024,POLICE OFFICER,1998-11-17,2013-09-18
7138,19075,8300,POLICE OFFICER,2013-09-18,
7291,19228,13379,POLICE OFFICER,2015-07-31,
9621,21558,16241,POLICE OFFICER,2015-02-13,
,21879,10926,POLICE OFFICER,1991-05-02,2001-05-31
,21879,2645,POLICE OFFICER,2001-05-31,2006-05-22
9942,21879,1025,SERGEANT,2006-05-22,
10732,22667,11281,POLICE OFFICER,,
,#U100419,14981,POLICE OFFICER,2000-11-14,
,#U100420,18791,POLICE OFFICER,2017-04-26,
11933,23866,17138,POLICE OFFICER,2014-11-13,2019-04-01
3460,15397,17909,POLICE OFFICER,1995-12-18,2019-02-22
