id,url,title,link_type,author,officer_ids
,https://cpdp.co/officer/56/,Officer's profile on CPDP,Link,Citizens Police Data Project,11958
,https://cpdp.co/officer/411/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100008
,https://cpdp.co/officer/834/,Officer's profile on CPDP,Link,Citizens Police Data Project,12301
,https://cpdp.co/officer/3412/,Officer's profile on CPDP,Link,Citizens Police Data Project,13227
,https://cpdp.co/officer/3978/,Officer's profile on CPDP,Link,Citizens Police Data Project,13436
,https://cpdp.co/officer/4423/,Officer's profile on CPDP,Link,Citizens Police Data Project,13642
,https://cpdp.co/officer/4443/,Officer's profile on CPDP,Link,Citizens Police Data Project,13649
,https://cpdp.co/officer/4879/,Officer's profile on CPDP,Link,Citizens Police Data Project,13844
,https://cpdp.co/officer/5520/,Officer's profile on CPDP,Link,Citizens Police Data Project,14098
,https://cpdp.co/officer/5913/,Officer's profile on CPDP,Link,Citizens Police Data Project,14232
,https://cpdp.co/officer/6131/,Officer's profile on CPDP,Link,Citizens Police Data Project,14311
,https://cpdp.co/officer/6258/,Officer's profile on CPDP,Link,Citizens Police Data Project,14360
,https://cpdp.co/officer/6388/,Officer's profile on CPDP,Link,Citizens Police Data Project,14419
,https://cpdp.co/officer/8703/,Officer's profile on CPDP,Link,Citizens Police Data Project,15252
,https://cpdp.co/officer/12484/,Officer's profile on CPDP,Link,Citizens Police Data Project,16658
,https://cpdp.co/officer/14763/,Officer's profile on CPDP,Link,Citizens Police Data Project,17501
,https://cpdp.co/officer/16115/,Officer's profile on CPDP,Link,Citizens Police Data Project,17937
,https://cpdp.co/officer/18544/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100030
,https://cpdp.co/officer/22410/,Officer's profile on CPDP,Link,Citizens Police Data Project,20315
,https://cpdp.co/officer/23003/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100035
,https://cpdp.co/officer/24615/,Officer's profile on CPDP,Link,Citizens Police Data Project,21222
,https://cpdp.co/officer/30011/,Officer's profile on CPDP,Link,Citizens Police Data Project,23240
,https://cpdp.co/officer/30109/,Officer's profile on CPDP,Link,Citizens Police Data Project,23270
,https://cpdp.co/officer/995/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100041
,https://cpdp.co/officer/28511/,Officer's profile on CPDP,Link,Citizens Police Data Project,22606
,https://cpdp.co/officer/38/,Officer's profile on CPDP,Link,Citizens Police Data Project,11955
,https://cpdp.co/officer/347/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100045
,https://cpdp.co/officer/13741/,Officer's profile on CPDP,Link,Citizens Police Data Project,17114
,https://cpdp.co/officer/29563/,Officer's profile on CPDP,Link,Citizens Police Data Project,23065
,https://cpdp.co/officer/20462/,Officer's profile on CPDP,Link,Citizens Police Data Project,19556
,https://cpdp.co/officer/1945/,Officer's profile on CPDP,Link,Citizens Police Data Project,12730
,https://cpdp.co/officer/11451/,Officer's profile on CPDP,Link,Citizens Police Data Project,16299
,https://cpdp.co/officer/21388/,Officer's profile on CPDP,Link,Citizens Police Data Project,19889
,https://cpdp.co/officer/11970/,Officer's profile on CPDP,Link,Citizens Police Data Project,16452
,https://cpdp.co/officer/12076/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100061
,https://cpdp.co/officer/24345/,Officer's profile on CPDP,Link,Citizens Police Data Project,21081
,https://cpdp.co/officer/230/,Officer's profile on CPDP,Link,Citizens Police Data Project,12036
,https://cpdp.co/officer/5708/,Officer's profile on CPDP,Link,Citizens Police Data Project,14166
,https://cpdp.co/officer/8064/,Officer's profile on CPDP,Link,Citizens Police Data Project,15022
,https://cpdp.co/officer/15709/,Officer's profile on CPDP,Link,Citizens Police Data Project,17802
,https://cpdp.co/officer/4082/,Officer's profile on CPDP,Link,Citizens Police Data Project,13472
,https://cpdp.co/officer/5824/,Officer's profile on CPDP,Link,Citizens Police Data Project,14196
,https://cpdp.co/officer/9587/,Officer's profile on CPDP,Link,Citizens Police Data Project,15560
,https://cpdp.co/officer/23424/,Officer's profile on CPDP,Link,Citizens Police Data Project,20708
,https://cpdp.co/officer/451/,Officer's profile on CPDP,Link,Citizens Police Data Project,12145
,https://cpdp.co/officer/678/,Officer's profile on CPDP,Link,Citizens Police Data Project,12239
,https://cpdp.co/officer/1656/,Officer's profile on CPDP,Link,Citizens Police Data Project,12623
,https://cpdp.co/officer/1783/,Officer's profile on CPDP,Link,Citizens Police Data Project,#U100083
