id,officer id,officer unique identifier,badge number,job title,start date,end date,unit id
5574,17511,,5,COMMANDER,,,
1,11942,,13001,POLICE OFFICER,,,
2,11943,,13705,POLICE OFFICER,,,
3,11944,,19596,POLICE OFFICER,,,
4,11945,,17673,POLICE OFFICER,,,
5,11946,,7147,POLICE OFFICER,,,
6,11947,,14008,POLICE OFFICER,,,
7,11948,,14237,POLICE OFFICER,,,
8,11949,,11360,POLICE OFFICER,,,
9,11950,,16579,POLICE OFFICER,,,
10,11951,,11485,POLICE OFFICER,,,
11,11952,,12861,POLICE OFFICER,,,
12,11953,,12960,POLICE OFFICER,,,
13,11954,,,POLICE OFFICER,,,
14,11955,,15206,PO ASGN EVID. TECHNI,,,
15,11956,,9248,POLICE OFFICER,,,
16,11957,,3392,POLICE OFFICER,,,
17,11958,,7792,POLICE OFFICER,,,
18,11959,,15760,POLICE OFFICER,,,
19,11960,,6380,POLICE OFFICER,,,
20,11961,,9747,POLICE OFFICER,,,
21,11962,,4853,POLICE OFFICER,,,
22,11963,,13560,POLICE OFFICER,,,
23,11964,,10955,POLICE OFFICER,,,
24,11965,,12327,POLICE OFFICER,,,
25,11966,,11683,POLICE OFFICER,,,
26,11967,,19029,POLICE OFFICER,,,
27,11968,,20137,PO AS DETECTIVE,,,
28,11969,,9561,POLICE OFFICER,,,
29,11970,,9476,POLICE OFFICER,,,
30,11971,,14467,POLICE OFFICER,,,
31,11972,,,POLICE OFFICER,,,
32,11973,,18154,POLICE OFFICER,,,
33,11974,,19875,POLICE OFFICER,,,
34,11975,,,POLICE OFFICER,,,
35,11976,,9965,POLICE OFFICER,,,
36,11977,,,POLICE OFFICER,,,
37,11978,,3081,POLICE OFFICER,,,
38,11979,,,POLICE OFFICER,,,
39,11980,,10089,POLICE OFFICER,,,
40,11981,,4145,POLICE OFFICER,,,
41,11982,,4731,POLICE OFFICER,,,
42,11983,,20389,PO AS DETECTIVE,,,
43,11984,,4483,POLICE OFFICER,,,
44,11985,,20261,PO AS DETECTIVE,,,
45,11986,,9186,POLICE OFFICER,,,
46,11987,,20299,PO AS DETECTIVE,,,
47,11988,,11786,POLICE OFFICER,,,
48,11989,,20828,PO AS DETECTIVE,,,
49,11990,,18545,POLICE OFFICER,,,
50,11991,,5831,POLICE OFFICER,,,
51,11992,,6233,POLICE OFFICER,,,
52,11993,,6992,POLICE OFFICER,,,
53,11994,,6673,POLICE OFFICER,,,
54,11995,,757,LIEUTENANT OF POLICE,,,
55,11996,,2593,SERGEANT OF POLICE,,,
56,11997,,5778,POLICE OFFICER,,,
57,11998,,15702,POLICE OFFICER,,,
58,11999,,9928,POLICE OFFICER,,,
59,12000,,5868,POLICE OFFICER,,,
60,12001,,19353,POLICE OFFICER,,,
61,12002,,18201,POLICE OFFICER,,,
62,12003,,2689,SERGEANT OF POLICE,,,
63,12004,,19612,POLICE OFFICER,,,
64,12005,,12704,POLICE OFFICER,,,
65,12006,,11420,POLICE OFFICER,,,
66,12007,,20228,PO AS DETECTIVE,,,
67,12008,,6966,POLICE OFFICER,,,
68,12009,,1670,SERGEANT OF POLICE,,,
69,12010,,6788,POLICE OFFICER,,,
70,12011,,15439,POLICE OFFICER,,,
71,12012,,8039,POLICE OFFICER,,,
72,12013,,1600,SERGEANT OF POLICE,,,
73,12014,,11616,POLICE OFFICER,,,
74,12015,,7375,POLICE OFFICER,,,
75,12016,,,SERGEANT OF POLICE,,,
76,12017,,13288,POLICE OFFICER,,,
77,12018,,17233,POLICE OFFICER,,,
78,12019,,17627,POLICE OFFICER,,,
79,12020,,10365,POLICE OFFICER,,,
80,12021,,8576,POLICE OFFICER,,,
81,12022,,13110,POLICE OFFICER,,,
82,12023,,13438,POLICE OFFICER,,,
83,12024,,12033,POLICE OFFICER,,,
84,12025,,12810,POLICE OFFICER,,,
85,12026,,20510,PO AS DETECTIVE,,,
86,12027,,3176,PO ASGN EVID. TECHNI,,,
87,12028,,14254,POLICE OFFICER,,,
88,12029,,5459,POLICE OFFICER,,,
89,12030,,12872,POLICE OFFICER,,,
90,12031,,19883,POLICE OFFICER,,,
91,12032,,3162,POLICE OFFICER,,,
92,12033,,,POLICE OFFICER,,,
93,12034,,16794,POLICE OFFICER,,,
94,12035,,,POLICE OFFICER,,,
95,12036,,17176,POLICE OFFICER,,,
96,12037,,4088,POLICE OFFICER,,,
97,12038,,9754,POLICE OFFICER,,,
98,12039,,18864,POLICE OFFICER,,,
99,12040,,4355,PO/EXP DET CAN HAND,,,
100,12041,,4031,POLICE OFFICER,,,
101,12042,,7118,POLICE OFFICER,,,
102,12043,,17487,POLICE OFFICER,,,
103,12044,,3882,POLICE OFFICER,,,
104,12045,,6096,POLICE OFFICER,,,
105,12046,,14249,POLICE OFFICER,,,
106,12050,,6049,POLICE OFFICER,,,
107,12051,,9351,POLICE OFFICER,,,
108,12047,,9183,POLICE OFFICER,,,
109,12049,,13545,POLICE OFFICER,,,
110,12052,,21104,PO AS DETECTIVE,,,
111,12053,,5001,POLICE OFFICER,,,
112,12054,,13934,POLICE OFFICER,,,
113,12055,,5589,POLICE OFFICER,,,
114,12056,,14751,POLICE OFFICER,,,
115,12057,,13577,POLICE OFFICER,,,
116,12058,,7265,POLICE OFFICER,,,
117,12059,,15405,POLICE OFFICER,,,
118,12060,,17915,POLICE OFFICER,,,
119,12061,,14558,POLICE OFFICER,,,
120,12062,,,POLICE OFFICER,,,
121,12063,,13133,PO/FIELD TRNING OFF,,,
122,12064,,15731,POLICE OFFICER,,,
123,12065,,11992,POLICE OFFICER,,,
124,12066,,11798,POLICE OFFICER,,,
125,12067,,11046,POLICE OFFICER,,,
126,12068,,5142,POLICE OFFICER,,,
127,12069,,9788,POLICE OFFICER,,,
128,12070,,13463,POLICE OFFICER,,,
129,12071,,1787,SERGEANT OF POLICE,,,
130,12072,,20359,PO AS DETECTIVE,,,
131,12073,,6408,POLICE OFFICER,,,
132,12074,,15729,POLICE OFFICER,,,
133,12075,,4948,POLICE OFFICER,,,
134,12076,,15095,POLICE OFFICER,,,
135,12077,,19061,POLICE OFFICER,,,
136,12078,,10381,POLICE OFFICER,,,
137,12079,,3109,POLICE OFFICER,,,
138,12080,,6292,POLICE TECHNICIAN,,,
139,12081,,805,SERGEANT OF POLICE,,,
140,12082,,21340,PO AS DETECTIVE,,,
141,12083,,531,DEP CHIEF,,,
142,12084,,7727,POLICE OFFICER,,,
143,12085,,19249,POLICE OFFICER,,,
144,12086,,9103,POLICE OFFICER,,,
145,12087,,13518,POLICE OFFICER,,,
146,12088,,12905,POLICE OFFICER,,,
147,12089,,8860,POLICE OFFICER,,,
148,12090,,19838,POLICE OFFICER,,,
149,12048,,17773,POLICE OFFICER,,,
150,12091,,19618,POLICE OFFICER,,,
151,12092,,13813,POLICE OFFICER,,,
152,12093,,8030,POLICE OFFICER,,,
153,12094,,20547,PO AS DETECTIVE,,,
154,12095,,14598,POLICE OFFICER,,,
155,12096,,3324,POLICE OFFICER,,,
156,12097,,14603,POLICE OFFICER,,,
157,12098,,6806,POLICE OFFICER,,,
158,12099,,8411,POLICE OFFICER,,,
159,12101,,7241,POLICE OFFICER,,,
160,12102,,,POLICE OFFICER,,,
