id,officer_id,job_title,badge_number
,#1,Patrol Officer,1058
,#2,Patrol Officer,955
,#3,Recruit Trainee,
,#4,Sergeant,509
,#5,Deputy Chief,22
,#6,Patrol Officer,1861
,#7,Sergeant,446
,#8,Patrol Officer,1027
,#9,Patrol Officer,966
,#10,Patrol Officer,2116
,#11,Patrol Officer,745
,#12,Recruit Trainee,
,#13,Probationary,1257
,#14,Patrol Officer,1006
,#15,Patrol Officer,2622
,#16,Patrol Officer,DT832
,#17,Patrol Officer,735
,#18,Recruit Trainee,
,#19,Patrol Officer,862
,#20,Patrol Officer,2920
,#21,Patrol Officer,903
,#22,Patrol Officer,2512
,#23,Patrol Officer,2804
,#24,Recruit Trainee,
,#25,Patrol Officer,1871
,#26,Patrol Officer,2152
,#27,Patrol Officer,1108
,#28,Patrol Officer,DT776
,#29,Probationary,1268
,#30,Patrol Officer,962
,#31,Patrol Officer,1088
,#32,Patrol Officer,1074
,#33,Patrol Officer,2099
,#34,Patrol Officer,2880
,#35,Patrol Officer,2096
,#36,Patrol Officer,2095
,#37,Patrol Officer,1069
,#38,Sergeant,368
,#39,Patrol Officer,2529
,#40,Patrol Officer,993
,#41,Patrol Officer,2805
,#42,Patrol Officer,2501
,#43,Sergeant,557
,#44,Patrol Officer,2089
,#45,Patrol Officer,2061
,#46,Lieutenant,120
,#47,Patrol Officer,1201
,#48,Patrol Officer,2635
,#49,Sergeant,364
,#50,Sergeant,436
,#51,Probationary,1291
,#52,Patrol Officer,2530
,#53,Lieutenant,138
,#54,Sergeant,571
,#55,Patrol Officer,2080
,#56,Assistant Chief,8
,#57,Patrol Officer,2078
,#58,Patrol Officer,781
,#59,Patrol Officer,2664
,#60,Sergeant,611
,#61,Patrol Officer,2233
,#62,Patrol Officer,2075
,#63,Lieutenant,98
,#64,Patrol Officer,1064
,#65,Patrol Officer,2072
,#66,Patrol Officer,1893
,#67,Deputy Chief,3
,#68,Patrol Officer,880
,#69,Lieutenant,91
,#70,Patrol Officer,1909
,#71,Sergeant,460
,#72,Sergeant,324
,#73,Patrol Officer,791
,#74,Sergeant,455
,#75,Patrol Officer,2324
,#76,Patrol Officer,2726
,#77,Patrol Officer,2921
,#78,Recruit Trainee,
,#79,Patrol Officer,2502
,#80,Patrol Officer,2060
,#81,Patrol Officer,779
,#82,Sergeant,429
,#83,Patrol Officer,2651
,#84,Patrol Officer,742
,#85,Patrol Officer,2881
,#86,Patrol Officer,2806
,#87,Patrol Officer,1029
,#88,Recruit Trainee,
,#89,Patrol Officer,2806
,#90,Patrol Officer,2727
,#91,Patrol Officer,946
,#92,Patrol Officer,2808
,#93,Patrol Officer,2048
,#94,Sergeant,2653
,#95,Patrol Officer,2044
,#96,Patrol Officer,980
,#97,Probationary,1200
,#98,Lieutenant,146
,#99,Probationary,2547
,#100,Patrol Officer,2882
,#101,Patrol Officer,1210
,#102,Probationary,1298
,#103,Sergeant,543
,#104,Patrol Officer,2809
,#105,Patrol Officer,2922
,#106,Recruit Trainee,
,#107,Patrol Officer,705
,#108,Patrol Officer,744
,#109,Patrol Officer,1213
,#110,Patrol Officer,2031
,#111,Patrol Officer,2810
,#112,Captain,47
,#113,Patrol Officer,2030
,#114,Patrol Officer,2728
