officer_id,job_title,badge_number,id
#0,Commander,807,
#1,Sergeant,751,
#2,Police Officer,285,
#3,Police Officer,242,
#4,Police Officer,258,
#5,Police Officer,223,
#6,Police Officer,161,
#7,Police Officer,311,
#8,Police Officer,180,
#9,Police Officer,314,
#10,Police Officer,298,
#11,Police Officer,300,
#12,Police Officer,245,
#13,Police Officer,247,
#14,Police Officer,303,
#15,Police Officer,296,
#16,Investigator,282,
#17,Police Officer,194,
#18,Police Chief,999,
#19,Police Officer,301,
#20,Sergeant,757,
#21,Police Officer,227,
#22,Police Officer,244,
#23,Police Officer,306,
#24,Police Officer,237,
#25,Police Officer,308,
#26,Deputy Chief,902,
#27,Police Officer,284,
#28,Police Officer,286,
#29,Police Officer,277,
#30,Police Officer,250,
#31,Police Officer,304,
#32,Deputy Chief,901,
#33,Police Officer,309,
#34,Police Officer,307,
#35,Police Officer,255,
#36,Police Officer,305,
#37,Police Officer,281,
#38,Police Officer,297,
#39,Police Officer,302,
#40,Sergeant,756,
#41,Investigator,261,
#42,Commander,809,
#43,Commander,810,
#44,Sergeant,750,
#45,Investigator,279,
#46,Police Officer,276,
#47,Investigator,254,
#48,Police Officer,292,
#49,Police Officer,239,
#50,Police Officer,243,
#51,Police Officer,293,
#52,Sergeant,758,
#53,Police Officer,218,
#54,Police Officer,238,
#55,Police Officer,272,
#56,Police Officer,271,
#57,Investigator,289,
#58,Police Officer,265,
#59,Sergeant,761,
#60,Police Officer,312,
#61,Investigative Sergeant,745,
#62,Police Officer,310,
#63,Police Officer,291,
#64,Sergeant,755,
#65,Sergeant,759,
#66,Police Officer,274,
#67,School Resource Officer,246,
#68,Investigator,280,
#69,Crime Prevention Officer,236,
#70,Police Officer,290,
#71,Police Officer,178,
#72,Commander,804,
#73,Police Officer,248,
#74,Sergeant,760,
#75,Police Officer,288,
#76,Police Officer,241,
#77,Investigator,283,
#78,Administrative Sergeant,747,
#79,Police Officer,299,
#80,Police Officer,294,
#81,Commander,808,
#82,Police Officer,256,
#83,Police Officer,313,
