officer_id,job_title,badge_number,id
#0,Chief,1,
#1,Deputy Chief,3,
#2,Sergeant,51,
#3,Officer,126,
#4,Commander,14,
#5,Commander,11,
#6,Officer,135,
#7,Sergeant,55,
#8,Deputy Chief,2,
#9,Officer,125,
#10,Officer,168,
#11,Officer,116,
#12,Officer,120,
#13,Officer,170,
#14,Officer,172,
#15,Officer,130,
#16,Sergeant,59,
#17,Officer,123,
#18,Officer,127,
#19,Officer,114,
#20,Officer,122,
#21,Officer,117,
#22,Officer,118,
#23,Sergeant,52,
#24,Commander,10,
#25,Officer,147,
#26,Officer,115,
#27,Sergeant,53,
#28,Sergeant,54,
#29,Officer,149,
#30,Commander,50,
#31,Officer,124,
#32,Officer,137,
#33,Officer,128,
#34,Officer,142,
#35,Officer,146,
#36,Officer,129,
#37,Officer,171,
#38,Officer,143,
#39,Officer,145,
#40,Officer,139,
#41,Officer,136,
#42,Officer,141,
#43,Officer,131,
#44,Officer,169,
#45,Officer,144,
#46,Officer,133,
#47,Officer,148,
#48,Officer,119,
#49,Officer,113,
#50,Officer,167,
#51,Officer,121,
