officer_id,job_title,badge_number,id
#0,Patrol Officer,185,
#1,Police Commander,195,
#2,Patrol Officer,187,
#3,Patrol Officer,152,
#4,Patrol Officer,166,
#5,Patrol Officer,189,
#6,Patrol Officer,109,
#7,Police Sergeant,SGT5,
#8,Patrol Officer,117,
#9,Patrol Officer,173,
#10,Patrol Officer,127,
#11,Patrol Officer,182,
#12,Police Sergeant,SGT8,
#13,Patrol Officer,190,
#14,Patrol Officer,142,
#15,Patrol Officer,162,
#16,Patrol Officer,151,
#17,Police Sergeant,SGT2,
#18,Police Sergeant,SGT6,
#19,Police Sergeant,SGT10,
#20,Patrol Officer,137,
#21,Police Chief,199,
#22,Patrol Officer,104,
#23,Patrol Officer,175,
#24,Patrol Officer,179,
#25,Patrol Officer,180,
#26,Patrol Officer,181,
#27,Patrol Officer,184,
#28,Police Commander,194,
#29,Patrol Officer,165,
#30,Patrol Officer,108,
#31,Patrol Officer,174,
#32,Patrol Officer,170,
#33,Patrol Officer,164,
#34,Patrol Officer,121,
#35,Patrol Officer,188,
#36,Patrol Officer,116,
#37,Patrol Officer,134,
#38,Patrol Officer,132,
#39,Patrol Officer,141,
#40,Patrol Officer,171,
#41,Patrol Officer,128,
#42,Patrol Officer,138,
#43,Police Sergeant,SGT9,
#44,Patrol Officer,105,
#45,Patrol Officer,183,
#46,Patrol Officer,118,
#47,Patrol Officer,155,
#48,Patrol Officer,125,
#49,Patrol Officer,123,
#50,Police Sergeant,SGT11,
#51,Patrol Officer,186,
#52,Police Commander,196,
