id,officer_id,job_title,badge_number
,#NYPD_0,Police Officer,25534
,#NYPD_1,Police Officer,1173
,#NYPD_2,Police Officer,10464
,#NYPD_3,Police Officer,
,#NYPD_4,Detective First Grade,5028
,#NYPD_5,Police Officer,31754
,#NYPD_5,Police Officer,5035
,#NYPD_6,Detective Third Grade,1279
,#NYPD_7,Police Officer,1437
,#NYPD_8,Police Officer,
,#NYPD_9,Captain,0
,#NYPD_10,Sergeant,3488
,#NYPD_11,Police Officer,
,#NYPD_12,Police Officer,
,#NYPD_13,Detective Third Grade,5587
,#NYPD_14,Lieutenant,0
,#NYPD_15,Police Officer,
,#NYPD_16,Police Officer,
,#NYPD_17,Police Officer,
,#NYPD_18,Police Officer,
,#NYPD_19,Sergeant,4319
,#NYPD_20,Police Officer,26687
,#NYPD_21,Sergeant,3809
,#NYPD_22,Police Officer,2102
,#NYPD_23,Inspector,0
,#NYPD_24,Sergeant,2459
,#NYPD_25,Police Officer,11059
,#NYPD_26,Lieutenant,0
,#NYPD_27,Police Officer,17800
,#NYPD_28,Police Officer,26962
,#NYPD_29,Police Officer,15573
,#NYPD_30,Police Officer,31662
,#NYPD_31,Lieutenant,0
,#NYPD_32,Police Officer,9078
,#NYPD_33,Detective Second Grade,5501
,#NYPD_34,Police Officer,15047
,#NYPD_35,Detective First Grade,741
,#NYPD_36,Police Officer,6038
,#NYPD_37,Police Officer,2988
,#NYPD_38,Police Officer,20217
,#NYPD_39,Police Officer,20510
,#NYPD_40,Detective Specialist,4920
,#NYPD_41,Detective Third Grade,4276
,#NYPD_42,Sergeant,5038
,#NYPD_43,Police Officer,29371
,#NYPD_44,Police Officer,30080
,#NYPD_45,Police Officer,14084
,#NYPD_46,Detective Second Grade,7192
,#NYPD_47,Sergeant,0
,#NYPD_48,Police Officer,9383
,#NYPD_49,Police Officer,
,#NYPD_50,Detective First Grade,3387
,#NYPD_51,Detective Third Grade,29544
,#NYPD_52,Police Officer,27269
,#NYPD_53,Police Officer,28812
,#NYPD_54,Sergeant,928
,#NYPD_55,Police Officer,17656
,#NYPD_56,Sergeant,3704
,#NYPD_57,Detective Specialist,1248
,#NYPD_58,Police Officer,2937
,#NYPD_59,Sergeant,3641
,#NYPD_60,Police Officer,9024
,#NYPD_61,Police Officer,7675
,#NYPD_62,Detective Third Grade,3365
,#NYPD_63,Police Officer,2216
,#NYPD_64,Police Officer,31795
,#NYPD_65,Police Officer,31346
,#NYPD_66,Police Officer,6997
,#NYPD_67,Sergeant,0
,#NYPD_68,Sergeant,227
,#NYPD_69,Detective Second Grade,7242
,#NYPD_70,Police Officer,765
,#NYPD_71,Police Officer,
,#NYPD_72,Police Officer,
,#NYPD_73,Detective Third Grade,2074
,#NYPD_74,Police Officer,
,#NYPD_75,Police Officer,
,#NYPD_76,Sergeant,1492
,#NYPD_77,Police Officer,9112
,#NYPD_78,Police Officer,11809
,#NYPD_79,Detective Third Grade,3640
,#NYPD_80,Police Officer,
,#NYPD_81,Detective Third Grade,1681
,#NYPD_82,Sergeant,2025
,#NYPD_83,Police Officer,12424
,#NYPD_84,Police Officer,18569
,#NYPD_85,Police Officer,
,#NYPD_86,Lieutenant,0
,#NYPD_87,Detective Third Grade,5509
,#NYPD_88,Sergeant,26231
,#NYPD_88,Sergeant,0
,#NYPD_89,Police Officer,12651
,#NYPD_90,Sergeant,1998
,#NYPD_91,Police Officer,14473
,#NYPD_92,Police Officer,22444
,#NYPD_93,Sergeant,4566
,#NYPD_94,Police Officer,12073
,#NYPD_95,Detective Third Grade,655
,#NYPD_96,Police Officer,5792
,#NYPD_97,Police Officer,7049
,#NYPD_98,Police Officer,30883
,#NYPD_99,Inspector,0
,#NYPD_100,Lieutenant,0
,#NYPD_101,Police Officer,7719
,#NYPD_102,Detective Third Grade,933
,#NYPD_103,Captain,0
,#NYPD_104,Police Officer,24834
,#NYPD_105,Police Officer,541
,#NYPD_106,Police Officer,1077
,#NYPD_107,Police Officer,
,#NYPD_108,Police Officer,9603
,#NYPD_109,Police Officer,17433
,#NYPD_110,Police Officer,20500
,#NYPD_111,Police Officer,20104
,#NYPD_112,Police Officer,
,#NYPD_113,Police Officer,4518
,#NYPD_114,Police Officer,19233
,#NYPD_115,Police Officer,26929
,#NYPD_116,Detective Third Grade,4461
,#NYPD_117,Police Officer,
,#NYPD_118,Police Officer,28619
,#NYPD_119,Lieutenant,0
,#NYPD_120,Police Officer,19692
,#NYPD_121,Detective Second Grade,3451
,#NYPD_122,Police Officer,12821
,#NYPD_123,Police Officer,31048
,#NYPD_124,Police Officer,17525
,#NYPD_125,Police Officer,
,#NYPD_126,Police Officer,25418
,#NYPD_127,Police Officer,10955
,#NYPD_128,Police Officer,21649
,#NYPD_129,Police Officer,
,#NYPD_130,Police Officer,
,#NYPD_131,Police Officer,3328
,#NYPD_132,Police Officer,2699
,#NYPD_133,Police Officer,20966
,#NYPD_134,Police Officer,8011
,#NYPD_135,Police Officer,10973
,#NYPD_136,Police Officer,1809
,#NYPD_137,Police Officer,
,#NYPD_138,Police Officer,26424
,#NYPD_139,Sergeant,3454
,#NYPD_140,Police Officer,7060
,#NYPD_141,Police Officer,19792
,#NYPD_142,Police Officer,2917
,#NYPD_143,Police Officer,10676
,#NYPD_144,Detective Third Grade,14042
,#NYPD_144,Detective Third Grade,5393
,#NYPD_145,Police Officer,17371
,#NYPD_146,Police Officer,16086
,#NYPD_147,Sergeant,3083
,#NYPD_147,Sergeant,0
,#NYPD_148,Police Officer,16135
,#NYPD_149,Police Officer,28131
,#NYPD_150,Sergeant,3063
,#NYPD_151,Police Officer,2259
,#NYPD_152,Police Officer,30090
,#NYPD_153,Police Officer,30377
,#NYPD_154,Lieutenant,0
,#NYPD_155,Police Officer,
,#NYPD_156,Police Officer,8574
,#NYPD_157,Lieutenant,5095
,#NYPD_157,Lieutenant,0
,#NYPD_158,Police Officer,3506
,#NYPD_159,Lieutenant,0
,#NYPD_160,Police Officer,24809
,#NYPD_161,Police Officer,17566
,#NYPD_162,Detective Specialist,16032
,#NYPD_162,Detective Specialist,4523
,#NYPD_163,Detective Second Grade,4424
,#NYPD_164,Police Officer,11054
,#NYPD_165,Police Officer,26602
,#NYPD_166,Police Officer,29147
,#NYPD_167,Lieutenant,0
,#NYPD_168,Sergeant,
,#NYPD_169,Police Officer,2439
,#NYPD_170,Police Officer,20643
,#NYPD_171,Detective Third Grade,7664
,#NYPD_172,Police Officer,19245
,#NYPD_173,Police Officer,16714
