id,department_name,officer_ids,date,description,street_name,cross_street1,zip_code,city,state
#0,"Rochester, NY Police Department",33384,2012-08-10,"Two unarmed men were allegedly pursued and shot at by Officer Santiago
<h4>Outcome</h4>None",,,,Rochester,NY
#1,"Rochester, NY Police Department",33062,2015-10-01,"According to Davy V blog and video, Lathrop detained and asked for ID without reasonable suspicion, then escalated and tased a civilian.
<h4>Outcome</h4>No charges against Lathrop",Victoria St,Hertel St,,Rochester,NY
#134,"Rochester, NY Police Department",33062,2015-10-01,"According to The Davy V. Blog, video evidence shows Officer Lathop allegedly physically grabing a citizens right arm,  yelling at him to get out of the car, and tasering the citizen who is seen in the video falling to the street, writhing in pain.",Victoria St,Hertel St,,Rochester,NY
#2,"Rochester, NY Police Department",32809,2015-09-04,"According to the civil suit below, the victim was assaulted by police officers after complaining that the store owner short changed him and then kicked him out of the store.",Comfort St,South Ave,,Rochester,NY
#3,"Rochester, NY Police Department",33429,2003-07-01,"According to Davy V Blog and other sources, Officer Simmons responded to a call from family members to assist with a 13 year old threatening suicide. He shot the child in the pelvis three times, claiming self defense.
<h4>Outcome</h4>Acting Police Chief Cedric Alexander said victim ""acted in an appropriate manner, ""The way he was trained to act."" He was not disciplined.",Jacob St,,,Rochester,NY
#4,"Rochester, NY Police Department",32847,2016-04-01,"According to sources below, RPD officers followed the victim in his car, and Officer Joseph Ferrigno shot at the individual 4 times from behind, hitting him 3 times.
<h4>Outcome</h4>While the victim was cleared of all charges, Officer Ferrigno was not disciplined for any of this actions.",Immel St,Jay St,,Rochester,NY
#5,"Rochester, NY Police Department",33051,2013-08-27,"According to video, Lucas Krull hit the victim in the head and wrestled her to the ground after she told him and other officers she was pregnant.
<h4>Outcome</h4>the victim was sentenced to 6 months in jail and 5 years probation for injuring Krull while he arrested her.  On September 20th, her bail was increased from $7,500 to $25,000.  The officers received no consequences, and Police Chief James Sheppard praised the officers' “restraint”.",Seyle Terrace,Lark St,,Rochester,NY
#6,"Rochester, NY Police Department",32874,2015-05-31,"RPD Officer Thomas Frye allegedly tased the victim, 50, who died.
<h4>Outcome</h4>No known discipline. Frye still works as an RPD officer.",Tremont St,Morgan St,,Rochester,NY
#7,"Rochester, NY Police Department",32756,2014-11-12,"According to D&C officer was involved in a shootout with no injuries.
<h4>Outcome</h4>None found",Vermont St,Culver rd,,Rochester,NY
#15,"Rochester, NY Police Department",32756,2014-06-20,"According to video from DavyV Officer was parked, in traffic lane, impeding vehicle traffic
<h4>Outcome</h4>none",Winton Rd,East Ave,,Rochester,NY
#8,"Rochester, NY Police Department",32753,2010-08-10,"According to a United States District Court Decision and Order document that named Curtis Cunningham, Adam Harden, Migdalia Plaza, and Nelson Soto ad defendants, the following are facts alleged by the plaintiff. Two brothers were stopped at a motor vehicle checkpoint operated by the Rochester Police Department where police officers forced one brother out of the car, beat him, and handcuffed him. One officer then approached  the other brother, held a bottle of pepper  spray to his eye, and threatened to discharge it. After one brother was processed and then released, he was walking to his car, officers ran towards him, attacked him with pepper spray, handcuffed him, and placed him in a cell. Then a sheriff’s deputy pulled plaintiff’s hands through the bars of the cell and began beating them, telling plaintiff he would not stop until plaintiff cried out in pain. 
<h4>Outcome</h4>On July 1, 2014, the Court dismissed the Rochester Police Department and Monroe County as defendants. The Court agreed that, even accepting all of plaintiff’s allegations as true, he has nonetheless failed to produce evidence of a civil rights violation by any of the RPD  defendants.",Bay St,Culver St,,Rochester,NY
#18,"Rochester, NY Police Department",32753,2011-01-01,"Curtis Cunningham pled guilty to violating Rochester Police Department rules and regulations Section 3.2: Conducting Private Business or Association on Duty. Appears to have no victim. 
<h4>Outcome</h4>Suspension without pay for 10 working days",,,,Rochester,NY
#9,"Rochester, NY Police Department",32688,2013-03-08,"According to https://casetext.com/case/williams-v-carpenter-3 , there was a civil suit filed against Julie Carpenter for false imprisonment, negligence, illegal search and seizure, due process, and defamation. 
<h4>Outcome</h4>Charges against Julie Carpenter dismissed.",,,,Rochester,NY
#10,"Rochester, NY Police Department",32567,2003-09-20,"According to complainant's hand-written letter, complainant was verbally abused, wrongfully arrested, and taken into custody with a loaded handgun. Complainant alleges officer reported other false allegations against the complainant.  
<h4>Outcome</h4>A letter of reprimand was filed against Mark Allen",Mark St,Hudson Ave,,Rochester,NY
#11,"Rochester, NY Police Department",32633,2011-10-13,"According to Rochester IndyMedia, Randy Book shot and killed a 43 year old Black man from Barbados, in front of his wife and stepchildren. According to IndyMedia, Officer Book ordered the victim to drop a knife, but before the victim was even able to comply with the order, Book opened fire, shooting him a total of five times and hitting him three.
<h4>Outcome</h4>None",Columbia Ave,,,Rochester,NY
#12,"Rochester, NY Police Department",32568,2014-09-11,"According to the Davy V. Blog, Officer Allen was tailgating an individual who eventually pulled over to let the RPD vehicle pass. Officer Allen pulled up next to the individual and asked why they had pulled over; the individual asked Officer Allen for her badge number, but she refused, saying it was ""none of your business.""",Highland Ave,,,Rochester,NY
#19,"Rochester, NY Police Department",32568,2019-07-24,"According to City of Rochester public records, Officer Allen plead guilty to the New York State violation disorderly conduct in Niagara Falls, NY City Court. There is no further information on the disorderly conduct charge.
<h4>Outcome</h4>Officer Allen received ten days' suspension without pay",,,,Rochester,NY
#13,"Rochester, NY Police Department",32825,2000-08-05,"According to the City of Rochester RPD Misconduct database, Officer Elwood used force while taking person into custody, failed to report the incident.
<h4>Outcome</h4>suspended",Concord St,North St,,Rochester,NY
#14,"Rochester, NY Police Department",32825,2000-08-08,"Use of improper tactics according to City of Rochester RPD Misconduct database.
<h4>Outcome</h4>suspension",Rauber St,North Clinton,,Rochester,NY
#20,"Rochester, NY Police Department",32825,2015-04-03,Officer allegedly harassed community space.,Troup St,Clarissa St,,Rochester,NY
#16,"Rochester, NY Police Department",32695,2016-08-07,"Castrichini was one of 17 Rochester police officers accused in a federal lawsuit of participating in or being present for an August 2016 incident where excessive force was used against a Rochester teenager.
<h4>Outcome</h4>After an ""internal investigation"", the Rochester, NY Police Departnent found no wrongdoing on the part of any if its officers, and maintains that officers were responding to a 911 call for a man with a gun. According to Rochester For All website the teen received $360,00.",Remington St,,,Rochester,NY
#17,"Rochester, NY Police Department",32563,2018-10-19,"Several media sources show the officer entering the wrong yard without warning, then shooting a friendly dog who'd just been let out into the yard. Body-worn camera footage showed the death. Lawsuits were brought against the city.
<h4>Outcome</h4>unknown",,,,Rochester,NY
#21,"Rochester, NY Police Department",32651,2016-05-17,"Adam Brodsky was allegedly struck by a car someone was driving. After a foot pursuit, Adam Brodsky shot the person while arresting them. 
<h4>Outcome</h4>No disciplinary action",Seneca Park,,,Rochester,NY
#22,"Rochester, NY Police Department",32635,2013-04-07,"According Davy V. ,  Boskat stopped a man with a broken ankle on his bike , because as he ""looked like a white guy with a black shirt"" reported to have been ""looking in cars"" at Frontier Field. The man had pepper spray and a small knife, both were legal for the man to have.  He tells the man he is  ""danger to him"", even though the man willingly handed over the pepper spray and the knife.  Officer Boskat does realize he has the “wrong man” at some point but decided to issue the man a ticket for not having a bell on his bicycle.  
<h4>Outcome</h4>none found",,,,Rochester,NY
#34,"Rochester, NY Police Department",32635,2014-09-18,"Court case: Man alleged that various Rochester Police Department (""RPD"") officers used excessive and unlawful force against him, falsely arrested him, and subsequently fabricated official police paperwork and committed perjury in an attempt to cover-up this wrongdoing. Officer Boskat was named in this court case that was connected to another incident the Plaintiff was involved on date above . The focus of the  incident on 9/18/14 was on Officer Masic ( investigate him !!) Defendent 

<h4>Outcome</h4>none",,,,Rochester,NY
#23,"Rochester, NY Police Department",32771,2010-03-04,Decocq and Herbin were allegedly attempting to make a mental hygiene arrest on an individual at a group home. Police said officers subdued the suspect with a Taser,South Ave,Knab Trouman Rd,,Rochester,NY
#24,"Rochester, NY Police Department",32640,2018-05-17,"According to WHAM, ""Two Rochester Police officers got into a fight Monday morning while on the street in the north side of the city.""
<h4>Outcome</h4>UPDATE (8/16): Rochester Police say the two officers involved in an apparent altercation on Conkey Avenue have been, ""disciplined as warranted.""

Deputy Police Chief La'Ron Singletary did not address the specific disciplinary measures taken in this incident.",Conkey Ave,Ave A,,Rochester,NY
#25,"Rochester, NY Police Department",32661,2013-01-08,RPD officer Chris Burgstrom was responding to a missing dog report when he allegedly killed a dog with a shotgun after claiming it charged at him.,Charlotte Beach,,,Rochester,NY
#27,"Rochester, NY Police Department",32661,2013-07-11,"RPD officer Christopher Burgstrom was responding to a dispute at someone's home. When the homeowner's dog came out the front door, Brugstrom allegedly told the owner to ""get your dog"" and then shot and killed the dog.",,,,Rochester,NY
#26,"Rochester, NY Police Department",32777,2015-10-12,"According to City of Rochester Public Records, Andrew Demarco looked down to adjust his police radio while driving, and rear-ended a stopped vehicle in front of him. This was his ""3rd avoidable fleet accident in 36 months"".
<h4>Outcome</h4>Officer Demarco received a Letter of Reprimand from the Chief of Police, Michael Ciminelli.",Genesee St,Columbia Ave,,Rochester,NY
#28,"Rochester, NY Police Department",32647,2020-05-06,"An individual filed a civil rights claim against the city of Rochester and several police officers, including Briganti",,,,Rochester,NY
#29,"Rochester, NY Police Department",32643,2021-01-29,"Bradstreet was involved in the pepper spraying and use of extreme force of a nine-year old child who was in the midst of a mental health crisis. The episode was filmed by multiple body cameras and brought nationwide attention to the troubling abuse. Four officers were involved.
<h4>Outcome</h4>All four officers have been suspended or placed on administrative leave. Bradstreet, with the department 4.5 years, is currently on administrative leave. RPD Chief Cynthia Herriot-Sullivan and the Locust Club have defended the actions as 'necessary.'",Avenue B,,,Rochester,NY
#38,"Rochester, NY Police Department",32643,2020-08-17,"Bradstreet lost control of his vehicle as he rushed to a dispatched call of a stabbing, crashing into a street sign and damaging the car. There is no indication of injury. There are four items in the city database connected to this incident",Portland,Council St,,Rochester,NY
#30,"Rochester, NY Police Department",32713,2012-09-05,"Officer was allegedly involved in killing 3 pit bulls during a drug raid.
<h4>Outcome</h4>Nothing mentioned in article or database. Database shows 2 things since 2014 but no details on this incident.",,,,Rochester,NY
#36,"Rochester, NY Police Department",32713,2012-09-05,"Involved in drug raid that resulted in killing 3 pit bulls 
<h4>Outcome</h4>Nothing mentioned in article or database. Database shows 2 things since 2014 but no details on this incident.",,,,Rochester,NY
#31,"Rochester, NY Police Department",32664,2017-09-18,"In a lawsuit, in which Lucas Burritt was named, someone accused Burrit and other officers of using ""excessive and unlawful force against him, falsely arrested him, and subsequently fabricated official police paperwork and committed perjury in an attempt to cover-up this wrongdoing.""",,,,Rochester,NY
#32,"Rochester, NY Police Department",32700,2018-02-07,"On February 7, 2018, Celiberti was involved in a one car accident due to excessive speed driving in the snow while driving a fleet car. He pleaded guilty, and it was noted that this was his 3rd avoidable accident in 36 months. A reprimand was issued.
<h4>Outcome</h4>reprimand",St Paul,Ave B,,Rochester,NY
#33,"Rochester, NY Police Department",32784,2019-10-18,"According to Spectrum news, DeVincentis chased a victim and there was fighting for several minutes
<h4>Outcome</h4>none",First St,Miller St,,Rochester,NY
#35,"Rochester, NY Police Department",32775,2017-07-31,"According to Police Accident Report, while heading to assist another officer at a traffic stop, Officer Delvecchio struck a vehicle resulting in damage to their rear tail light and driver's side rear quarter panel.
<h4>Outcome</h4>Letter of Reprimand",Park Ave,Berkeley St,,Rochester,NY
#40,"Rochester, NY Police Department",32775,2010-03-30,"According to firehouse.com, while responding to a call, Officer Delvecchio collided with another vehicle.
<h4>Outcome</h4>None",Central Park,,,Rochester,NY
#76,"Rochester, NY Police Department",32775,2015-02-02,"The officers failed to obtain permission to transport Plaintiff as required by police department rule, it could not have been an arrest pursuant to New York Mental Hygiene Law.
<h4>Outcome</h4>the Court denies Defendants' motion for summary judgment",,,,Rochester,NY
#80,"Rochester, NY Police Department",32775,2015-02-02,"According to court documents, Delvecchio was among officers of who opened the door to plaintiff's home.  Plaintiff said please take me home. Immediately after she said this, according to plaintiff, Officer Delvecchio elbowed her in the face. Officer Delvecchio's elbow allegedly struck plaintiff in the mouth, knocking out her top left front tooth. Plaintiff alleges that immediately after being elbowed, she was punched by Officer Delvecchio in the area of her left eye. 
<h4>Outcome</h4>the Court denies Defendants' motion for summary judgment",Meredith St,,,Rochester,NY
#37,"Rochester, NY Police Department",32707,1970-01-01,"Officer involved in ""avoidable accident"" according to police discipline database.
<h4>Outcome</h4>Reprimands",,,,Rochester,NY
#39,"Rochester, NY Police Department",32718,2016-08-07,"Kenneth Coniglio was named on a federal lawsuit as being present when a 17-year old Black youth was allegedly beaten by Rochester Police. The teenager suffered injuries including an orbital fracture on his face. The lawsuit alleges that Canniglio was involved in illegal search and seizure, use of excessive force, battery, and assault.
<h4>Outcome</h4>Civilian Review Board found no wrongdoing. City of Rochester settled a civil lawsuit for $360,000",Remington St,Carl St,,Rochester,NY
#41,"Rochester, NY Police Department",32718,2002-04-17,"According to RPD Misconduct Database, Coniglio was involved in an avoidable fleet vehicle accident. 
<h4>Outcome</h4>letter of reprimand",Jefferson Ave,W Main St,,Rochester,NY
#42,"Rochester, NY Police Department",32779,2015-09-04,"According to court documents, victim was allegedly assaulted by several RPD Officers and denied medical care. The case details indicate that Timothy Dempsey was accused of excessive force and failing to intervene to stop the assault. 
<h4>Outcome</h4>The case was ultimately dismissed. No record of disciplinary action found.",Comfort St,South Ave,,Rochester,NY
#78,"Rochester, NY Police Department",32779,2015-09-04,"Allegedly slammed victim into the sidewalk at grocery store, causing serious injuries.
<h4>Outcome</h4>victim was acquitted by jury",Bartlett St,Jefferson Ave,,Rochester,NY
#43,"Rochester, NY Police Department",32795,2018-05-01,"According to Rochester First,  a man was attacked by RPD Officers Sippel, Dimauro, McAvoy, and Collins, after being stopped, believed to be a wanted man. He was struck by officers and sustained fractures to his skull and jaw, even after proving his identity.
<h4>Outcome</h4>victim won a civil lawsuit against the City of Rochester because of the incident. Other officers were discipled, but there is no mention of discipline for Officer Dimauro.",Fulton Ave,,,Rochester,NY
#83,"Rochester, NY Police Department",32795,2018-05-02,"Victim suffered serious injuries in May 2018 during an arrest attempt, which was ultimately found to be case of mistaken identity. Michael DiMauro was among the officers involved and named on the lawsuit.


<h4>Outcome</h4>Di Mauro named in civil lawsuit",Fulton Ave,,,Rochester,NY
#44,"Rochester, NY Police Department",32850,2016-02-03,"According to Spectrum News and ABC WHAM, then Police Chief Michael Ciminelli said Fiorica was part of a group of officers carrying out a search warrant on the home, individual approached Fiorica with a metal mop handle in what police said was a threatening manner, and Fiorica fired his shotgun at Coleman.  According to police, only the victim's left ring finger was harmed; The individual said his shoulder and head were also injured.

Drugs were found in the home, and the individual was sentenced to jail time without bail because of multiple prior felony drug convictions.
<h4>Outcome</h4>Then Police Chief Michael Ciminelli and Locust Club President Mike Mazzeo defended Fiorica's actions.  Ciminelli said Fiorica was placed on administrative duty pending an internal investigation.  As far as I can tell, Fiorica faced no consequences.",Scio St,Bohrer Alley,,Rochester,NY
#45,"Rochester, NY Police Department",32731,1970-01-01,"According to CRB complaint, RPD Officer Coriddi allegedly punched a civilian in the back, slammed a vehicle door on her legs, sprayed her with Cap-Stun for no reason, and slammed her head on the vehicle doorframe several times, and also listed the civilian's shirt and bra in the process. This happened while civilian's vehicle stalled and she was trying to call a tow truck. 
<h4>Outcome</h4>CRB and PSS exonerated the officer on some allegations of force, and found others unprovable. The CRB found that Coriddi did improperly tow the civilian's vehicle. ""The CRB believes that Officer Coriddi's poor responses at the scene of the incident escalated the chaino f events taht occured. The officer poorly executed the use of Cap-Stun where verbal warnings could have been used."" CRB recommended additional training, but it is unclear if this or any other disciplinary outcome was ever implemented.",,,,Rochester,NY
#46,"Rochester, NY Police Department",32714,2015-05-14,"From City of Rochester RPD Misconduct database charges: “That on or about May 14th, 2015, you were operating your fleet vehicle in a westbound direction at or about 614 Clifford Avenue with yourvehicle's emergency equipment activated, when you became involved in your third avoidable fleet accident in thirty-six months.  You attempted to make a K-turn and while backing northbound on Clifford Avenue, did strike a civilian vehicle.  The civilian vehicle was also traveling in a westbound direction and attempted to pass behind you as you were attempting to execute your K-turn.”
<h4>Outcome</h4>Not aware",Joseph Ave,Clifford Av,,Rochester,NY
#47,"Rochester, NY Police Department",32671,2003-11-22,"Officer Camilo was charged with various failures related to performing his regular duties in a competent matter including failure to place a suspect's weapon on an evidence intake form, failure to utilize proper equipment, failure to bring necessary equipment to a scene, leaving a suspect's handgun unattended and unsecured in the Technician's Unit overnight, and under subpoena failing to report to the New York State Supreme Court at the appointed time to give testimony.
<h4>Outcome</h4>Letter of reprimand",,,,Rochester,NY
#49,"Rochester, NY Police Department",32671,1970-01-01,"Officer Camilo was alleged as being unprepared for court testimony in an Officer involved shooting case. The testimony was alleged to be inaccurate and confusing. After an attempt by the Assistant District Attorney to correct the testimony, his testimony was again inaccurate and in fact incorrect.
Information to support allegation is a conversation with the Prosecuting Attorney, First Assistant District Attorney Kenneth Hyland and a copy of the transcript of Officer Camilo’s testimony. 

<h4>Outcome</h4>none found",,,,Rochester,NY
