id,officer_id,salary,overtime_pay,year,is_fiscal_year
,31936,78630.41,16750.58,2018,true
,31938,90033.13,8747.88,2018,true
,31939,78630.41,9682.26,2018,true
,31940,77118.28,4380.59,2018,true
,31942,101810.36,29237.54,2018,true
,31945,75606.16,635.72,2018,true
,31946,84913.17,15307.87,2018,true
,31947,55553.34,,2018,true
,31948,75606.16,226.04,2018,true
,31950,77118.28,4427.88,2018,true
,31951,78630.41,4319.36,2018,true
,31952,78630.41,1013.74,2018,true
,31953,90033.13,17125.28,2018,true
,31954,77118.28,7204.47,2018,true
,31955,86054.72,18925.5,2018,true
,31957,84376.67,4337.59,2018,true
,31962,87775.81,6215.74,2018,true
,31963,86570.32,2118.91,2018,true
,31967,101810.36,4869.76,2018,true
,31968,86570.32,4836.31,2018,true
,31970,75606.16,,2018,true
,31971,75606.16,11466.87,2018,true
,31975,84913.17,5538.88,2018,true
,31976,77118.28,5681.67,2018,true
,31978,75606.16,10752.13,2018,true
,31979,90033.13,,2018,true
,31980,77118.28,8329.19,2018,true
,31981,77118.28,14265.76,2018,true
,31982,78630.41,,2018,true
,31983,75606.16,8137.21,2018,true
,31984,78630.41,,2018,true
,31985,75606.16,1808.33,2018,true
,31986,77118.28,,2018,true
,31988,75606.16,11818.71,2018,true
,31989,78630.41,3467.35,2018,true
,31990,84913.17,,2018,true
,31992,78630.41,2959.89,2018,true
,31993,78630.41,16498.39,2018,true
,31996,78630.41,293.85,2018,true
,31997,90033.13,4508.42,2018,true
,31998,87775.81,12849.44,2018,true
,31999,65348.49,,2018,true
,32000,75606.16,10997.89,2018,true
,32001,90033.13,17697.42,2018,true
,32003,75606.16,3093.91,2018,true
,32004,89496.91,1137.13,2018,true
,32007,54485.0,,2018,true
,32009,64091.79,,2018,true
,32010,78630.41,18512.21,2018,true
,32011,55553.34,119.49,2018,true
,32012,78630.41,6273.68,2018,true
,32014,90033.13,18911.77,2018,true
,32015,75606.16,20028.89,2018,true
,32017,75606.16,1398.59,2018,true
,32018,77118.28,1455.41,2018,true
,32019,77118.28,,2018,true
,32020,75606.16,4252.3,2018,true
,32021,77118.28,,2018,true
,32022,74923.09,1877.68,2018,true
,32024,75606.16,3446.72,2018,true
,32025,74923.09,989.01,2018,true
,32027,65348.49,,2018,true
,32028,72041.43,15444.17,2018,true
,32029,65348.49,2855.11,2018,true
,32030,87775.81,36590.46,2018,true
,32031,86054.72,34040.66,2018,true
,32032,79386.47,,2018,true
,32033,86570.32,19078.4,2018,true
,32035,74923.09,3367.46,2018,true
,32036,55553.34,,2018,true
,32038,84376.67,2365.48,2018,true
,32041,77118.28,893.42,2018,true
,32042,75606.16,1214.97,2018,true
,32044,86054.72,18717.28,2018,true
,32045,89496.91,13612.32,2018,true
,32046,89496.91,6329.55,2018,true
,32048,75606.16,5909.78,2018,true
,32049,77118.28,15161.01,2018,true
,32050,78630.41,1792.99,2018,true
,32051,77118.28,4049.17,2018,true
,32052,75606.16,,2018,true
,32053,75606.16,,2018,true
,32054,110463.48,,2018,true
,32055,86570.32,21426.72,2018,true
,32056,95520.74,,2018,true
,32057,78630.41,10332.92,2018,true
,32058,78630.41,528.93,2018,true
,32060,65348.49,6295.04,2018,true
,32062,78630.41,3251.66,2018,true
,32063,86054.72,46293.08,2018,true
,32066,78630.41,14501.82,2018,true
,32069,78630.41,837.46,2018,true
,32070,78630.41,4995.08,2018,true
,32071,75606.16,41365.17,2018,true
,32072,78630.41,,2018,true
,32073,84913.17,102.84,2018,true
,32074,89496.91,30591.23,2018,true
,32076,78630.41,7960.12,2018,true
,32077,86054.72,21519.27,2018,true
,32078,89496.91,12851.41,2018,true
,32079,78630.41,13370.14,2018,true
,32080,65348.49,,2018,true
,32083,77118.28,6527.74,2018,true
,32084,78630.41,1528.08,2018,true
,32085,75606.16,17150.44,2018,true
,32087,142540.06,,2018,true
,32088,90033.13,,2018,true
,32090,90033.13,3415.04,2018,true
,32091,75606.16,14520.97,2018,true
,32092,75606.16,12602.58,2018,true
,32096,97894.58,38618.72,2018,true
,32097,94174.33,16677.07,2018,true
,32098,78630.41,587.7,2018,true
,32100,77118.28,1037.52,2018,true
,32102,88301.73,6929.43,2018,true
,32105,65348.49,10314.1,2018,true
,32106,75606.16,21856.13,2018,true
,32112,78630.41,8800.5,2018,true
,32115,83280.23,19202.84,2018,true
,32116,96020.88,1337.83,2018,true
,32117,78630.41,1730.29,2018,true
,32118,86570.32,9041.83,2018,true
,32120,138885.24,6605.69,2018,true
,32121,89496.91,17006.67,2018,true
,32122,78630.41,2423.96,2018,true
,32123,114882.02,18073.63,2018,true
,32124,55553.34,,2018,true
,32125,94174.33,778.61,2018,true
,32130,78630.41,4084.53,2018,true
,32132,75606.16,25465.01,2018,true
,32134,86570.32,23503.54,2018,true
,32135,78630.41,9493.86,2018,true
,32136,75606.16,8485.2,2018,true
,32137,75606.16,,2018,true
,32138,78630.41,,2018,true
,32139,75606.16,,2018,true
,32140,77118.28,10108.48,2018,true
,32141,114882.02,34794.75,2018,true
,32144,74923.09,12595.11,2018,true
,32146,78630.41,1586.78,2018,true
,32147,75606.16,8956.73,2018,true
,32148,54485.0,,2018,true
,32150,88301.73,4833.94,2018,true
,32152,77118.28,1282.56,2018,true
,32153,114882.02,26681.12,2018,true
,32154,89496.91,12608.77,2018,true
,32155,78630.41,8550.97,2018,true
,32156,75606.16,8787.17,2018,true
,32157,75606.16,2466.41,2018,true
,32159,81647.28,3308.99,2018,true
,32161,75606.16,2020.14,2018,true
,32163,75606.16,1511.65,2018,true
,32164,74923.09,,2018,true
,32167,78630.41,10823.57,2018,true
,32168,90033.13,1396.27,2018,true
,32169,78630.41,793.34,2018,true
,32172,72041.43,1920.86,2018,true
,32173,78630.41,18483.03,2018,true
,32174,78630.41,38582.52,2018,true
,32175,101810.36,17508.4,2018,true
,32177,65348.49,4025.8,2018,true
,32178,75606.16,7996.03,2018,true
,32179,75606.16,1214.95,2018,true
,32180,90033.13,5753.28,2018,true
,32181,78630.41,1895.27,2018,true
,32182,74923.09,,2018,true
,32183,78630.41,,2018,true
,32184,106263.57,21802.13,2018,true
,32185,62835.09,3705.4,2018,true
,32186,90033.13,4760.77,2018,true
,32187,75606.16,819.39,2018,true
,32188,86570.32,8076.51,2018,true
,32190,81131.41,19063.95,2018,true
,32191,55553.34,,2018,true
,32192,75606.16,4473.93,2018,true
,32193,75606.16,1031.3,2018,true
,32194,78630.41,264.43,2018,true
,32195,81647.28,3724.46,2018,true
,32196,90033.13,,2018,true
,32200,78630.41,7228.7,2018,true
,32202,65348.49,3904.15,2018,true
,32203,75606.16,861.67,2018,true
,32205,53416.67,48.54,2018,true
,32206,77118.28,1887.71,2018,true
,32207,75606.16,2641.87,2018,true
,32208,65348.49,2738.78,2018,true
,32209,108347.17,1795.45,2018,true
,32212,78630.41,,2018,true
,32216,90033.13,31727.32,2018,true
,32217,75606.16,1271.46,2018,true
,32218,78630.41,602.29,2018,true
,32220,75606.16,1681.15,2018,true
,32223,65348.49,122.16,2018,true
,32224,112578.68,,2018,true
,32225,75606.16,3894.62,2018,true
,32226,78630.41,14618.66,2018,true
,32228,75606.16,13634.65,2018,true
,32229,89496.91,14314.43,2018,true
,32230,75606.16,6024.92,2018,true
,32231,75606.16,,2018,true
,32232,86054.72,7042.9,2018,true
,32233,75606.16,1602.68,2018,true
,32234,89496.91,30769.39,2018,true
,32235,78630.41,,2018,true
,32237,84913.17,9825.48,2018,true
,32238,78630.41,18091.57,2018,true
,32239,75606.16,,2018,true
,32241,75606.16,12516.88,2018,true
,32244,75606.16,,2018,true
,32249,89496.91,16407.51,2018,true
,32250,78630.41,23944.62,2018,true
,32254,101810.36,6093.94,2018,true
,32255,77118.28,,2018,true
,32256,75606.16,480.33,2018,true
,32257,78630.41,13881.57,2018,true
,32258,75606.16,282.55,2018,true
,32260,89496.91,41070.35,2018,true
,32261,90033.13,3112.15,2018,true
,32267,89496.91,18511.81,2018,true
,32268,90033.13,26058.0,2018,true
,32269,62835.09,4211.94,2018,true
,32271,62835.09,1352.45,2018,true
,32272,97894.58,23413.28,2018,true
,32273,77118.28,2925.05,2018,true
,32274,53416.67,2400.13,2018,true
,32275,74923.09,,2018,true
,32276,75606.16,2731.16,2018,true
,32277,78630.41,2209.74,2018,true
,32278,75606.16,2051.79,2018,true
,32279,78630.41,8850.41,2018,true
,32280,78630.41,1807.22,2018,true
,32281,73482.26,15132.25,2018,true
,32282,75606.16,3104.33,2018,true
,32287,78630.41,18145.06,2018,true
,32288,83280.23,10314.23,2018,true
,32289,77118.28,3602.5,2018,true
,32290,78630.41,1895.28,2018,true
,32292,75606.16,4534.91,2018,true
,32294,62835.09,837.11,2018,true
,32295,101810.36,10310.18,2018,true
,32297,84376.67,16166.38,2018,true
,32298,86054.72,1543.6,2018,true
,32299,89496.91,14581.98,2018,true
,32300,75606.16,2839.62,2018,true
,32301,101810.36,6372.53,2018,true
,32302,75606.16,10835.62,2018,true
,32303,101810.36,16530.53,2018,true
,32304,53416.67,200.17,2018,true
,32305,75606.16,1652.9,2018,true
,32306,62835.09,2995.11,2018,true
,32307,65348.49,1010.18,2018,true
,32308,77118.28,6605.58,2018,true
,32309,65348.49,259.91,2018,true
