id,officer_id,job_title,badge_number,start_date
,#0,Civilian,,2020-07-07
,#1,Officer,1663,2005-03-28
,#2,Civilian,,2011-02-07
,#3,Sergeant,2111,2018-10-22
,#4,Officer,910,1996-10-07
,#5,Officer,1384,2001-03-19
,#6,Civilian,,2019-01-03
,#7,Lieutenant,277,2015-08-03
,#8,Civilian,,2019-01-02
,#9,Civilian,,2012-01-23
,#10,Officer,1385,2001-03-19
,#11,Sergeant,1664,2019-05-30
,#12,Officer,2725,2017-09-25
,#13,Officer,1657,2005-03-28
,#14,Civilian,,1991-03-11
,#15,Officer,2060,2008-08-25
,#16,Officer,1300,2017-11-16
,#17,Officer,1764,2006-02-06
,#18,Sergeant,1823,2015-05-11
,#19,Officer,1096,2017-08-07
,#20,Investigator,3,2011-07-01
,#21,Civilian,,2015-10-17
,#22,Investigator,2180,2019-01-02
,#23,Officer,,2019-03-21
,#24,Civilian,,2000-06-01
,#25,Civilian,,1994-12-19
,#26,Civilian,,2009-05-18
,#27,Investigator,1665,2015-04-10
,#28,Sergeant,1290,2016-03-27
,#29,Civilian,,2017-10-13
,#30,Civilian,,1994-09-26
,#31,Officer,,2018-09-24
,#32,Lieutenant,1012,2011-12-16
,#33,Sergeant,1527,2015-05-11
,#34,Officer,863,1992-02-03
,#35,Officer,2314,2012-07-30
,#36,Investigator,912,2020-09-28
,#37,Civilian,,2007-10-15
,#38,Civilian,,2001-04-08
,#39,Civilian,,2017-10-02
,#40,Sergeant,1947,2018-07-05
,#41,Officer,2112,2020-07-27
,#42,Officer,,2018-09-24
,#43,Officer,2013,2008-02-25
,#44,Sergeant,2029,2019-04-07
,#45,Officer,1940,2007-07-27
,#46,Officer,1302,2000-07-31
,#47,Officer,2182,2010-02-22
,#48,Officer,507,1993-04-12
,#49,Officer,1796,2006-02-03
,#50,Investigator,1949,2020-01-13
,#51,Officer,2017,2008-02-25
,#52,Officer,,2019-09-23
,#53,Officer,866,2017-08-15
,#54,Officer,2113,2009-02-20
,#55,Sergeant,2475,2018-01-02
,#56,Officer,,2019-09-23
,#57,Sergeant,1631,2019-02-01
,#58,Investigator,2179,2019-08-12
,#59,Civilian,,2009-08-01
,#60,Civilian,,2000-07-17
,#61,Officer,1303,2000-07-31
,#62,Lieutenant,1950,2019-06-26
,#63,Investigator,30,1998-01-30
,#64,Officer,2551,2016-03-14
,#65,Officer,1951,2007-07-30
,#66,Sergeant,1001,2010-09-23
